gene_id	tpm_mean
EG10967	64.1233333333
EG10968	81.4266666667
EG10969	3.61333333333
EG10970	2.19333333333
EG10971	8.29666666667
EG10972	6.35
EG10973	31.0366666667
EG10974	85.5266666667
EG10975	64.7766666667
EG10976	146.333333333
EG10977	402.196666667
EG10978	298.093333333
EG10979	324.57
EG10980	458.34
EG10981	459.946666667
EG10982	549.693333333
EG10983	107.043333333
EG10984	93.78
EG10985	361.6
EG10986	62.6166666667
EG10987	423.49
EG10988	762.816666667
EG10989	4.1
EG10990	0.776666666667
EG10991	8.54666666667
EG10992	0.253333333333
EG10993	210.846666667
EG10994	36.3966666667
EG10995	56.9
EG10996	169.98
EG10997	86.26
EG10998	701.213333333
EG10999	607.086666667
EG11000	554.053333333
EG11001	1131.81333333
EG11002	133.28
EG11003	1900.52666667
EG11004	20.2733333333
EG11005	8.30666666667
EG11006	3.07
EG11007	65.93
EG11008	330.726666667
EG11009	529.59
EG11010	80.2433333333
EG11011	50.9066666667
EG11012	345.643333333
EG11013	161.456666667
EG11014	86.6333333333
EG11015	1237.86333333
EG11016	0.0
EG11017	5.57333333333
EG11018	32.58
EG11019	56.4133333333
EG11020	21.5833333333
EG11021	40.9566666667
EG11022	65.02
EG11023	3188.33333333
EG11024	67.1733333333
EG11025	64.3466666667
EG11026	32.5333333333
EG11027	11.5766666667
EG11028	9.52333333333
EG11029	41.54
EG11030	249.953333333
EG11031	1340.00333333
EG11032	329.8
EG11033	2171.48
EG11034	892.416666667
EG11035	434.13
EG11036	11271.9466667
EG11037	3655.67
EG11038	23.2033333333
EG11039	33.3833333333
EG11040	132.77
EG11041	8.71333333333
EG11042	124.1
EG11043	231.826666667
EG11044	25.7233333333
EG11045	285.256666667
EG11046	1.77666666667
EG11047	7.97666666667
EG11048	24.88
EG11049	2.72333333333
EG11050	40.6733333333
EG11051	22.94
EG11052	7.3
EG11053	7.87
EG11054	40.6866666667
EG11055	2.05
EG11056	7.08333333333
EG11057	10.9833333333
EG11058	133.346666667
EG11059	67.6066666667
EG11060	64.4366666667
EG11061	46.8933333333
EG11062	72.4
EG11063	97.8333333333
EG11064	71.74
EG11065	4.30333333333
EG11066	14.05
EG11067	264.436666667
EG11068	20.3233333333
EG11069	150.12
EG11070	175.923333333
EG11071	79.0433333333
EG11072	89.6266666667
EG11073	91.4
EG11074	5.06333333333
EG11075	7.66666666667
EG11076	6.35
EG11078	36.6533333333
EG11079	170.386666667
EG11080	211.896666667
EG11081	100.496666667
EG11082	23.1833333333
EG11083	41.3933333333
EG11084	241.003333333
EG11085	160.45
EG11086	87.6033333333
EG11087	346.413333333
EG11088	217.016666667
EG11089	293.463333333
EG11090	331.633333333
EG11091	71.8466666667
EG11092	4.02333333333
EG11093	231.31
EG11094	20.6933333333
EG11095	13.43
EG11096	911.703333333
EG11097	248.95
EG11098	478.74
EG11099	7.52333333333
EG11100	580.813333333
EG11101	7.69666666667
EG11102	39.39
EG11103	0.393333333333
EG11104	79.1966666667
EG11105	655.873333333
EG11108	13.5533333333
EG11109	29.92
EG11110	99.1733333333
EG11111	414.056666667
EG11112	29.23
EG11113	405.91
EG11116	31.33
EG11117	98.37
EG11118	45.1466666667
EG11119	1967.56
EG11120	1.04666666667
EG11121	96.9666666667
EG11122	49.7566666667
EG11123	54.65
EG11124	41.5833333333
EG11125	7.30333333333
EG11126	3.25
EG11127	0.93
EG11128	133.48
EG11129	20.78
EG11130	193.16
EG11131	75.2133333333
EG11132	69.61
EG11133	88.5066666667
EG11134	139.036666667
EG11135	104.243333333
EG11136	2.42333333333
EG11137	326.816666667
EG11138	148.786666667
EG11139	153.033333333
EG11140	255.936666667
EG11141	4.81666666667
EG11142	3.12333333333
EG11143	69.7733333333
EG11144	63.5066666667
EG11145	12.15
EG11146	10.7033333333
EG11147	184.453333333
EG11149	310.84
EG11150	1.21
EG11151	5366.04
EG11152	83.63
EG11153	4939.4
EG11154	15.13
EG11155	6.35
EG11156	5.47333333333
EG11157	33.92
EG11158	75.25
EG11159	33.49
EG11160	231.58
EG11161	39.3333333333
EG11162	71.6
EG11163	117.906666667
EG11164	235.21
EG11165	152.89
EG11166	24.56
EG11167	109.0
EG11168	1.58666666667
EG11169	1.82333333333
EG11171	34.6433333333
EG11172	1.85333333333
EG11173	1.14
EG11174	0.483333333333
EG11175	10.21
EG11176	6.68666666667
EG11177	193.3
EG11178	231.253333333
EG11179	317.943333333
EG11180	258.44
EG11181	833.28
EG11182	100.17
EG11183	367.506666667
EG11184	37.1133333333
EG11186	4.88
EG11187	7.49
EG11188	106.623333333
EG11189	91.12
EG11190	24.0433333333
EG11191	121.87
EG11192	140.78
EG11193	12.4833333333
EG11194	48.3833333333
EG11195	256.883333333
EG11196	25.17
EG11197	317.55
EG11198	316.446666667
EG11199	316.973333333
EG11201	129.27
EG11202	82.95
EG11203	179.026666667
EG11204	109.556666667
EG11205	80.7633333333
EG11206	6.76666666667
EG11207	10.2066666667
EG11208	2.53666666667
EG11209	30.46
EG11210	179.986666667
EG11211	13.42
EG11212	83.2233333333
EG11213	132.81
EG11214	96.9266666667
EG11215	14.1533333333
EG11217	69.4266666667
EG11218	46.17
EG11219	10.47
EG11221	294.266666667
EG11222	10.8733333333
EG11223	18.38
EG11224	132.786666667
EG11225	265.866666667
EG11226	94.9966666667
EG11227	2.42333333333
EG11228	1.65
EG11229	2.10333333333
EG11230	22.58
EG11231	6343.34333333
EG11232	11354.84
EG11233	40.87
EG11234	0.723333333333
EG11235	48.0566666667
EG11236	10.4433333333
EG11237	10.6366666667
EG11238	68.45
EG11239	43.1366666667
EG11241	7.68333333333
EG11242	13.5233333333
EG11244	143.64
EG11245	1.43666666667
EG11246	353.993333333
EG11247	21.9066666667
EG11249	54.8333333333
EG11250	13.6133333333
EG11251	108.41
EG11252	132.856666667
EG11253	55.69
EG11254	69.56
EG11255	109.943333333
EG11256	171.476666667
EG11257	3.12666666667
EG11258	760.3
EG11259	123.443333333
EG11260	16.7566666667
EG11261	63.45
EG11262	28.17
EG11263	11.95
EG11265	73.91
EG11266	2.05333333333
EG11267	0.796666666667
EG11268	221.793333333
EG11269	0.0
EG11270	544.846666667
EG11271	0.0
EG11272	0.0
EG11273	0.0
EG11274	0.0
EG11275	28.9366666667
EG11276	0.0
EG11277	0.0
EG11279	104.39
EG11280	0.0
EG11281	68.8466666667
EG11282	1.67666666667
EG11283	1.42666666667
EG11284	752.023333333
EG11285	22.9733333333
EG11286	69.6433333333
EG11287	8.04333333333
EG11288	21.33
EG11289	3.77666666667
EG11290	22.1333333333
EG11291	65.4866666667
EG11292	4.50666666667
EG11293	113.576666667
EG11294	84.5766666667
EG11295	90.1633333333
EG11296	49.7233333333
EG11297	250.0
EG11298	141.093333333
EG11299	111.536666667
EG11300	2.9
EG11301	5.67666666667
EG11302	11.3133333333
EG11303	0.933333333333
EG11304	2.9
