,pubmedID,reactionID,enzymeID,substrateIDs,kcat (1/s),kM (uM),vmax,ph,temperature
143,"['None', 'None']",ARGDECARBOX-RXN,['ARGDECARBOXBIO-CPLX'],[],[],[],[],[],['50']
144,"['None', 'None']",RXN0-4022,['CPLX0-3501'],"['NADPH', '7-CYANO-7-DEAZAGUANINE']","[-1, -1]","[0.2, 1.5]","[-1, -1]",[],['37']
145,['None'],RXN0-4022,['CPLX0-3501'],['7-CYANO-7-DEAZAGUANINE'],[-1],[1.0],[-1],[],[]
146,"['None', 'None']",RXN0-4022,['CPLX0-3501'],['NADPH'],[-1],[6.0],[-1],[],[]
147,"['None', 'None']",RXN0-4022,['CPLX0-3501'],['NADPH'],[-1],[36.0],[-1],[],[]
148,['27754868'],RXN0-4022,['CPLX0-3501'],['7-CYANO-7-DEAZAGUANINE'],[0.12],[-1],[-1],[],[]
149,"['23595998', 'None']",RXN0-4022,['CPLX0-3501'],['NADPH'],[0.142],[-1],[-1],[],[]
150,"['15767583', 'None']",RXN0-4022,['CPLX0-3501'],['NADPH'],[0.01],[-1],[-1],[],[]
151,['23410922'],RXN0-4022,['CPLX0-3501'],['7-CYANO-7-DEAZAGUANINE'],[0.1268],[-1],[-1],[],[]
152,['None'],RXN0-4022,['CPLX0-3501'],['NADPH'],[0.0033],[-1],[-1],[],[]
153,"['None', 'None']",GDPMANDEHYDRA-RXN,['GDPMANDEHYDRA-CPLX'],['GDP-MANNOSE'],[-1],[280.0],[-1],[],[]
154,"['9257704', 'None']",GDPMANDEHYDRA-RXN,['GDPMANDEHYDRA-CPLX'],['GDP-MANNOSE'],[-1],[222.0],[-1],[],[]
155,"['9525924', 'None']",GDPMANDEHYDRA-RXN,['GDPMANDEHYDRA-CPLX'],['GDP-MANNOSE'],[-1],[260.0],[-1],[],[]
156,"['14299611', 'None']",GDPMANDEHYDRA-RXN,['GDPMANDEHYDRA-CPLX'],['GDP-MANNOSE'],[-1],[550.0],[-1],[],[]
157,['None'],GDPMANDEHYDRA-RXN,['GDPMANDEHYDRA-CPLX'],['GDP-MANNOSE'],[-1],[220.0],[-1],[],[]
158,"['10673432', 'None']",GDPMANDEHYDRA-RXN,['GDPMANDEHYDRA-CPLX'],['GDP-MANNOSE'],[5.0],[-1],[-1],[],[]
159,"['None', 'None']",GDPMANDEHYDRA-RXN,['GDPMANDEHYDRA-CPLX'],[],[],[],[],['7'],[]
160,"['None', 'None']",GDPMANDEHYDRA-RXN,['GDPMANDEHYDRA-CPLX'],[],[],[],[],['8.0'],[]
161,['336628'],TRANS-RXN-122,['GLTS-MONOMER'],['GLT'],[-1],[1.5],[-1],[],[]
162,['7592609'],GDPMANMANHYDRO-RXN,['CPLX0-7712'],['GDP-MANNOSE'],[-1],[300.0],[-1],[],[]
163,['None'],GDPMANMANHYDRO-RXN,['CPLX0-7712'],[],[],[],[],['9.3'],[]
164,"['None', 'None']",RXN0-6710,['CPLX0-7936'],[],[],[],[],['7.2'],[]
165,['None'],MALSYN-RXN,['MALSYNG-MONOMER'],"['GLYOX', 'ACETYL-COA']","[-1, -1]","[21.0, 9.0]","[-1, -1]",[],[]
166,['12930982'],MALSYN-RXN,['MALSYNG-MONOMER'],['GLYOX'],[48.1],[-1],[-1],[],[]
167,['None'],4.3.1.15-RXN,['CPLX0-1401'],['23-Diaminopropanoate'],[-1],[170.0],[-1],[],[]
168,['12821154'],4.3.1.15-RXN,['CPLX0-1401'],['23-Diaminopropanoate'],[58.6],[-1],[-1],[],[]
169,['None'],4.3.1.15-RXN,['CPLX0-1401'],[],[],[],[],['8'],[]
170,"['10816581', 'None']",TREHALA-RXN,['TREHALAPERI-MONOMER'],['TREHALOSE'],[-1],[310.0],[-1],[],[]
171,['None'],TREHALA-RXN,['TREHALAPERI-MONOMER'],['TREHALOSE'],[-1],[410.0],[-1],[],[]
172,['17455176'],TREHALA-RXN,['TREHALAPERI-MONOMER'],['TREHALOSE'],[199.0],[-1],[-1],[],[]
173,['None'],TREHALA-RXN,['TREHALAPERI-MONOMER'],[],[],[],[],[],['30']
174,['16365043'],TRANS-RXN-100,['CPLX0-7906'],['CARNITINE'],[-1],[80.0],[-1],[],[]
175,['29551348'],RXN0-7298,['CPLX0-8211'],['PRENOL'],[-1],[14000.0],[-1],[],[]
176,['20359483'],RXN0-5214,['CPLX0-7848'],['L-ASCORBATE-6-PHOSPHATE'],[-1],[87.0],[-1],[],[]
177,['None'],RXN0-6254,['G7496-MONOMER'],['CTP'],[-1],[3.4],[-1],[],[]
178,['19542235'],RXN0-6254,['G7496-MONOMER'],['CTP'],[0.006166667],[-1],[-1],[],[]
179,['5543331'],ALPHAGALACTOSID-RXN,['ALPHAGALACTOSID-CPLX'],['MELIBIOSE'],[-1],[10000.0],[-1],[],[]
180,['None'],ALPHAGALACTOSID-RXN,['ALPHAGALACTOSID-CPLX'],[],[],[],[],['8.1'],[]
181,['6427236'],TRANS-RXN-156,['CPLX-166'],['MANNITOL'],[-1],[10.0],[-1],[],[]
182,['7592609'],GDP-GLUCOSIDASE-RXN,['CPLX0-7712'],['GDP-D-GLUCOSE'],[-1],[1900.0],[-1],[],[]
183,['None'],GDP-GLUCOSIDASE-RXN,['CPLX0-7712'],[],[],[],[],['9.3'],[]
184,['None'],RXN0-5186,['G7408-MONOMER'],"['CPD-2961', 'FRU1P']","[-1, 19.5]","[3900.0, 1700.0]","[-1, -1]",[],[]
185,['16990279'],RXN0-5186,['G7408-MONOMER'],['CPD-2961'],[7.1],[-1],[-1],[],[]
186,['15995192'],RXN0-4181,['CPLX0-8199'],['C-DI-GMP'],[-1],[36.0],[-1],[],[]
187,['23695249'],RXN0-4181,['CPLX0-8199'],['C-DI-GMP'],[1.43],[-1],[-1],[],[]
188,['None'],GALACTONDEHYDRAT-RXN,['GALACTONATE-DEHYDRATASE-MONOMER'],['D-GALACTONATE'],[3.5],[1500.0],[-1],[],[]
189,"['9874769', 'None']",2.7.9.3-RXN,['CPLX0-7957'],['SE-2'],[-1],[20.0],[-1],[],[]
190,['8144648'],2.7.9.3-RXN,['CPLX0-7957'],['SE-2'],[-1],[7.3],[-1],[],[]
191,"['8262938', 'None', 'None']",2.7.9.3-RXN,['CPLX0-7957'],['ATP'],[-1],[900.0],[-1],[],[]
192,['15901686'],RXN0-4621,['G6880-MONOMER'],['CPD0-882'],[-1],[1000.0],[-1],[],[]
193,['None'],RXN0-4621,['G6880-MONOMER'],['ATP'],[-1],[1000.0],[-1],['10'],[]
194,['None'],RXN0-6732,['CPLX0-7958'],['ATP'],[-1],[56.0],[-1],[],[]
195,['22089136'],RXN0-6732,['CPLX0-7958'],['CPD0-1068'],[20.0],[-1],[-1],[],[]
196,['1100608'],TRANS-RXN-169,['CPLX-169'],['SORBITOL'],[-1],[12.0],[-1],[],[]
197,['33839153'],RXN0-6452,['CPLX0-8589'],['CPD0-2339'],[0.8666667],[-1],[-1],[],[]
198,['1729236'],RXN0-2061,['CPLX0-8616'],['UDP-MURNAC-TETRAPEPTIDE'],[-1],[150.0],[-1],[],[]
199,['None'],RXN0-2061,['CPLX0-8616'],[],[],[],[],['8.4'],[]
200,"['None', 'None']",PROTOHEMEFERROCHELAT-RXN,['PROTOHEME-FERROCHELAT-MONOMER'],[],[],[],[],['8.0'],[]
