Proteins	Genes	Accession-1 of Gene	Common-Name
EG11906-MONOMER	EG11906	b3947	ptsA
GLUTAMINESYN-MONOMER	EG10383	b3870	glnA
G6174-MONOMER	G6174	b0304	rclA
ASPS-MONOMER	EG10097	b1866	aspS
EG11156-MONOMER	EG11156	b2825	ppdB
G6898-MONOMER	G6898	b1670	ydhU
G7321-MONOMER	G7321	b2513	yfgM
G6278-MONOMER	G6278	b0509	glxR
ARGDECARBOXBIO-MONOMER	EG10959	b2938	speA
MONOMER0-2884	G0-10657	b4686	yshB
EG11188-MONOMER	EG11188	b3618	htrL
EG11131-MONOMER	EG11131	b1563	relE
G6890-MONOMER	G6890	b1650	nemA
G7462-MONOMER	G7462	b2834	tas
NARP-MONOMER	EG11527	b2193	narP
G7414-MONOMER	G7414	b2717	hycI
MONOMER0-4241	G7769	b3505	insH11
GLYCEROL-3-P-ACYLTRANSFER-MONOMER	EG10740	b4041	plsB
EG10341-MONOMER	EG10341	b0084	ftsI
G495-MONOMER	G495	b2901	bglA
EG12201-MONOMER	EG12201	b2671	ygaC
UGPB-MONOMER	EG11047	b3453	ugpB
G6386-MONOMER	G6386	b0717	ybgP
EG11552-MONOMER	EG11552	b2713	hydN
FPPSYN-MONOMER	EG10508	b0421	ispA
G6175-MONOMER	G6175	b0305	rclR
EG11848-MONOMER	EG11848	b3883	yihV
EG11183-MONOMER	EG11183	b3388	damX
EG10307-MONOMER	EG10307	b3361	fic
ARTM-MONOMER	EG11627	b0861	artM
NUOB-MONOMER	EG12083	b2287	nuoB
G6644-MONOMER	G6644	b1297	puuA
G7137-MONOMER	G7137	b2105	rcnR
EG10830-MONOMER	EG10830	b2892	recJ
G7637-MONOMER	G7637	b3142	yraH
DSBBPROT-MONOMER	EG11393	b1185	dsbB
MONOMER0-4546	G0-17093	b4818	yoeJ
ENTF-PANT	EG10264	b0586	entF
SERS-CPLX	EG10947	b0893	serS
EG11808-MONOMER	EG11808	b1848	yebG
MONOMER0-2665	G0-10443	b4518	ymdF
CYTOCHROME-B561-MONOMER	EG10172	b1418	cybB
NIKD-MONOMER	EG12078	b3479	nikD
ACEF-S-ACETYLDIHYDROLIPOATE	EG10025	b0115	aceF
EG11214-MONOMER	EG11214	b4360	yjjA
G7657-MONOMER	G7657	b3190	ibaG
MONOMER0-2856	G0-10630	b4664	ibsD
G6384-MONOMER	G6384	b0715	abrB
EG12262-MONOMER	EG12262	b3535	yhjR
G6619-MONOMER	G6619	b1182	hlyE
OROTPDECARB-MONOMER	EG10809	b1281	pyrF
EG10272-MONOMER	EG10272	b3005	exbD
G7723-MONOMER	G7723	b3371	frlB
DEOA-MONOMER	EG10219	b4382	deoA
NACMURLALAAMI1-MONOMER	EG11823	b2435	amiA
UHPC-MONOMER	EG11053	b3667	uhpC
G7418-MONOMER	G7418	b2737	ygbK
YDEA-MONOMER	EG11636	b1528	ydeA
EG11180-MONOMER	EG11180	b3291	mscL
EG11860-MONOMER	EG11860	b3896	yiiG
METHGLYSYN-MONOMER	G6497	b0963	mgsA
G6795-MONOMER	G6795	b1505	ydeT
EG12370-MONOMER	EG12370	b1140	intE
EG11237-MONOMER	EG11237	b3338	chiA
FMNREDUCT-MONOMER	EG10334	b3844	fre
G6695-MONOMER	G6695	b1372	stfR
GLYOXII-MONOMER	G6099	b0212	gloB
DMSB-MONOMER	EG10233	b0895	dmsB
G7250-MONOMER	G7250	b2387	fryB
EG12028-MONOMER	EG12028	b2160	yeiI
ATPE-MONOMER	EG10102	b3737	atpE
FUM-MEMB1	EG10332	b4152	frdC
EG11192-MONOMER	EG11192	b3644	yicC
YDEZ-MONOMER	G6802	b1515	lsrD
GLUC1PADENYLTRANS-MONOMER	EG10379	b3430	glgC
MALIC-NAD-MONOMER	EG10948	b1479	maeA
MONOMER0-4423	G0-16740	b4746	yddY
TAGAALDOL2-MONOMER	EG12419	b2096	gatY
PD03831	EG10235	b3702	dnaA
YPHC-MONOMER	G7339	b2545	yphC
YADQ-MONOMER	EG12331	b0155	clcA
MONOMER0-152	EG11150	b2481	hyfA
G7868-MONOMER	G7868	b4211	qorB
EG11146-MONOMER	EG11146	b2405	xapR
EG10758-MONOMER	EG10758	b0525	ppiB
EG11500-MONOMER	EG11500	b1099	holB
ALAS-MONOMER	EG10034	b2697	alaS
PD00205	EG10533	b4043	lexA
PHOSPHO-DCUS-MONOMER	G7827	b4125	dcuS
EG11597-MONOMER	EG11597	b0784	moaD
EG12225-MONOMER	EG12225	b3488	yhiJ
PD03292	EG10992	b3119	tdcR
G7954-MONOMER	G7954	b4402	yjjY
B1657-MONOMER	G6893	b1657	ydhP
EG10717-MONOMER	EG10717	b4100	phnH
G7342-MONOMER	G7342	b2548	yphF
EG10435-MONOMER	EG10435	b4175	hflC
G6636-MONOMER	G6636	b1268	yciQ
B1599-MONOMER	G6857	b1599	mdtI
PYRUVOXID-MONOMER	EG10754	b0871	poxB
EG12337-MONOMER	EG12337	b0164	yaeI
MACB	G6462	b0879	macB
EG12111-MONOMER	EG12111	b2742	nlpD
G6148-MONOMER	G6148	b0277	yagK
G6710-MONOMER	G6710	b1389	paaB
EG12600-MONOMER	EG12600	b4394	yjjX
DSDX-MONOMER	EG10250	b2365	dsdX
EG10515-MONOMER	EG10515	b0696	kdpC
EG11711-MONOMER	EG11711	b3684	yidP
EG12098-MONOMER	EG12098	b2594	rluD
G6713-MONOMER	G6713	b1392	paaE
G7566-MONOMER	G7566	b3013	yqhG
MONOMER0-2489	EG12228	b3491	yhiM
MONOMER0-4437	EG12211	b3459	panZ
G7879-MONOMER	G7879	b4248	yjgH
G8202-MONOMER	G8202	b0013	yaaI
EG12180-MONOMER	EG12180	b0622	pagP
EG10624-MONOMER	EG10624	b2831	mutH
G7169-MONOMER	G7169	b2256	arnD
EG10423-MONOMER	EG10423	b2231	gyrA
G6196-MONOMER	G6196	b0331	prpB
EG11740-MONOMER	EG11740	b0568	nfrA
EG11619-MONOMER	EG11619	b1114	mfd
MONOMER0-1843	EG11747	b0131	panD
MONOMER0-4237	G7092	b2030	insH7
G6966-MONOMER	G6966	b1780	yeaD
NUCLEOSIDE-DIP-KIN-MONOMER	EG10650	b2518	ndk
G7609-MONOMER	G7609	b3095	yqjA
EG11565-MONOMER	EG11565	b0044	fixX
G7740-MONOMER	G7740	b3397	nudE
EG11882-MONOMER	EG11882	b3937	yiiX
SIROHEMESYN-MONOMER	EG10188	b3368	cysG
THRS-CPLX	EG11001	b1719	thrS
EG10879-MONOMER	EG10879	b3304	rplR
G6829-MONOMER	G6829	b1556	essQ
B1543-MONOMER	G6817	b1543	ydfJ
GALP-MONOMER	EG12148	b2943	galP
G7057-MONOMER	G7057	b1969	hprR
G6806-MONOMER	G6806	b1519	tam
EG11830-MONOMER	EG11830	b3858	yihD
UDP-NACMUR-ALA-LIG-MONOMER	EG10619	b0091	murC
EG12212-MONOMER	EG12212	b3466	yhhL
MONOMER0-2819	G0-10590	b4594	ymgJ
CYSW-MONOMER	EG10198	b2423	cysW
EG12081-MONOMER	EG12081	b2826	ppdA
EG11534-MONOMER	EG11534	b3687	ibpA
EG10266-MONOMER	EG10266	b3265	acrE
MONOMER0-766	G0-8892	b4599	mgtS
EG10306-MONOMER	EG10306	b1102	fhuE
HCAA2-MONOMER	M015	b2539	hcaF
EG11523-MONOMER	EG11523	b0704	ybfC
G7045-MONOMER	G7045	b1952	dsrB
G6622-MONOMER	G6622	b1193	emtA
G7450-MONOMER	G7450	b2792	yqcC
OHMETHYLBILANESYN-MONOMER	EG10429	b3805	hemC
G7060-MONOMER	G7060	b1972	msrQ
SAICARSYN-MONOMER	EG10791	b2476	purC
OCTAPRENYL-METHOXYPHENOL-OH-MONOMER	EG11324	b2907	ubiH
G6630-MONOMER	G6630	b1213	ychQ
EG12609-MONOMER	EG12609	b0058	rluA
OCTANOYL-ACP	EG50003	b1094	acpP
YDDA-MONOMER	EG11742	b1496	yddA
SGCA-MONOMER	EG12554	b4302	sgcA
G7111-MONOMER	G7111	b2072	pphC
MONOMER0-2881	G0-10654	b4671	ykgR
EG10886-MONOMER	EG10886	b3637	rpmB
PD00221	EG10843	b3905	rhaS
PD00364	EG11435	b1530	marR
G7659-MONOMER	G7659	b3192	mlaC
EG11662-MONOMER	EG11662	b1931	yedK
NIKE-MONOMER	EG12079	b3480	nikE
PD00260	EG10359	b0683	fur
PD00360	EG10551	b2839	lysR
MONOMER0-2658	G0-10436	b4510	rzoD
ARABISOM-MONOMER	EG10052	b0062	araA
G6907-MONOMER	G6907	b1681	sufD
EG11395-MONOMER	EG11395	b3964	yijD
EG11660-MONOMER	EG11660	b1929	yedE
CARBPSYN-SMALL	EG10134	b0032	carA
CITSYN-MONOMER	EG10402	b0720	gltA
G6519-MONOMER	G6519	b1008	rutE
COBS-MONOMER	EG12150	b1992	cobS
EG11519-MONOMER	EG11519	b3481	nikR
G7284-MONOMER	G7284	b2454	eutJ
EG11815-MONOMER	EG11815	b0996	torC
AICARTRANSIMPCYCLO-CPLX	EG10795	b4006	purH
EG11537-MONOMER	EG11537	b1067	yceH
EG12080-MONOMER	EG12080	b2698	recX
EG11352-MONOMER	EG11352	b3627	waaO
G7090-MONOMER	G7090	b2027	wzzB
GALACTONATE-DEHYDRATASE-MONOMER	GB4478	b4478	dgoD
G6500-MONOMER	G6500	b0966	hspQ
EG11429-MONOMER	EG11429	b3989	yjaZ
G6646-MONOMER	G6646	b1302	puuE
MONOMER0-4428	G0-10559	b4534	ynfP
G6828-MONOMER	G6828	b1555	ydfR
G6583-MONOMER	G6583	b1138	ymfE
HOLO-ACP-SYNTH-MONOMER	EG10247	b2563	acpS
G6131-MONOMER	G6131	b0256	insI1
PTSI-MONOMER	EG10789	b2416	ptsI
EG11303-MONOMER	EG11303	b1576	ydfD
B2076-MONOMER	G7115	b2076	mdtC
EG11828-MONOMER	EG11828	b3856	mobB
EG10040-MONOMER	EG10040	b4150	ampC
EG11057-MONOMER	EG11057	b1183	umuD
G6317-MONOMER	G6317	b0563	tfaX
G6106-MONOMER	G6106	b0222	gmhA
GABP-MONOMER	EG11330	b2663	gabP
G7112-MONOMER	G7112	b2073	yegL
G6492-MONOMER	G6492	b0952	pqiC
EG12073-MONOMER	EG12073	b2214	ftp
UDPGLCNACEPIM-MONOMER	EG11451	b3786	wecB
G6530-MONOMER	G6530	b1023	pgaB
MONOMER0-4435	G0-16751	b4757	ysdD
MOTB-FLAGELLAR-MOTOR-STATOR-PROTEIN	EG10602	b1889	motB
EG10838-MONOMER	EG10838	b3619	rfaD
PD03028	EG10364	b2837	galR
G6406-MONOMER	G6406	b0789	clsB
FABB-MONOMER	EG10274	b2323	fabB
EG11486-MONOMER	EG11486	b3792	wzxE
EG11210-MONOMER	EG11210	b4109	rdcA
EG11757-MONOMER	EG11757	b4168	tsaE
G7688-MONOMER	G7688	b3243	aaeR
DSBG-MONOMER	G6333	b0604	dsbG
G6997-MONOMER	G6997	b1816	yoaE
GCVT-MONOMER	EG11442	b2905	gcvT
MONOMER0-2851	G0-10624	G0-10624	insJK
EG12007-MONOMER	EG12007	b2126	btsS
DXS-MONOMER	G6237	b0420	dxs
FORMYLTHFDEFORMYL-MONOMER	EG11819	b1232	purU
EG11738-MONOMER	EG11738	b3995	rsd
EG10240-MONOMER	EG10240	b0015	dnaJ
G7461-MONOMER	G7461	b2833	ygdR
MONOMER0-1241	G0-9281	G0-9281	alaB
HYCF-MONOMER	EG10479	b2720	hycF
G6714-MONOMER	G6714	b1393	paaF
EG12450-MONOMER	EG12450	b2711	norW
EG12373-MONOMER	EG12373	b2795	ppnN
PHES-CPLX	EG10710 // EG10709		pheT // pheS
G7594-MONOMER	G7594	b3071	nfeR
EG10443-MONOMER	EG10443	b1507	hipA
MONOMER0-2680	G0-10458	b4541	yehK
G7719-MONOMER	G7719	b3354	yheU
EG11064-MONOMER	EG11064	b3813	uvrD
CMTB-MONOMER	EG11791	b2934	cmtB
E1O-MONOMER	EG10979	b0726	sucA
EG11095-MONOMER	EG11095	b0404	acpH
EG11270-MONOMER	EG11270	b3766	ilvL
G7308-MONOMER	G7308	b2491	hyfR
MALK-MONOMER	EG10558	b4035	malK
G7887-MONOMER	G7887	b4257	yjgN
EG12023-MONOMER	EG12023	b2141	yohJ
G6593-MONOMER	G6593	b1149	ymfN
G7709-MONOMER	G7709	b3331	gspJ
ARAJ-MONOMER	EG10060	b0396	araJ
EG11697-MONOMER	EG11697	b3677	yidI
EG11503-MONOMER	EG11503	b0195	trmO
PD01196	EG10223	b0840	deoR
EG12388-MONOMER	EG12388	b0534	sfmF
ADHE-MONOMER	EG10031	b1241	adhE
PD00257	EG10164	b3357	crp
G6428-MONOMER	G6428	b0825	fsaA
EG10315-MONOMER	EG10315	b4320	fimH
EG11926-MONOMER	EG11926	b4029	yjbH
G6523-MONOMER	G6523	b1012	rutA
EG12422-MONOMER	EG12422	b0802	ybiJ
SAPA-MONOMER	G2002	b1294	sapA
G6711-MONOMER	G6711	b1390	paaC
PGLUCISOM	EG10702	b4025	pgi
G7874-MONOMER	G7874	b4220	tamA
KDO-8PSYNTH-MONOMER	EG10518	b1215	kdsA
EG12045-MONOMER	EG12045	b2184	radD
EG11466-MONOMER	EG11466	b3819	rarD
EG11181-MONOMER	EG11181	b3337	bfd
G7843-MONOMER	G7843	b4166	queG
E1P-MONOMER	EG10024	b0114	aceE
G7884-MONOMER	G7884	b4253	yjgL
EG11760-MONOMER	EG11760	b1457	ydcD
G6098-MONOMER	G6098	b0190	yaeQ
FLGC-FLAGELLAR-MOTOR-ROD-PROTEIN	G359	b1074	flgC
EG12101-MONOMER	EG12101	b3408	feoA
G7932-MONOMER	G7932	b4335	yjiM
G7272-MONOMER	G7272	b2442	intZ
EG10320-MONOMER	EG10320	b1892	flhD
FOLD-MONOMER	EG10328	b0529	folD
G7593-MONOMER	G7593	b3070	nfeF
G6267-MONOMER	G6267	b0491	fetB
G6662-MONOMER	G6662	b1326	mpaA
EG10381-MONOMER	EG10381	b3431	glgX
G7730-MONOMER	G7730	b3378	yhfU
BASR-MONOMER	EG11615	b4113	basR
G6654-MONOMER	G6654	b1316	ycjT
DCUB-MONOMER	EG10006	b4123	dcuB
NRDA-MONOMER	EG10660	b2234	nrdA
EG11394-MONOMER	EG11394	b3963	fabR
G7680-MONOMER	G7680	b3232	zapE
G7499-MONOMER	G7499	b2880	ygfM
RPOH-MONOMER	EG10897	b3461	rpoH
G7721-MONOMER	G7721	b3358	yhfK
MONOMER0-2886	G0-10513	b4523	yciX
MONOMER0-2697	G0-10475	b4568	ytjA
G6096-MONOMER	G6096	b0188	tilS
MONOMER0-2826	G0-10603	b4612	yrhD
DTDPGLUCDEHYDRAT-MONOMER	EG12412	b2041	rfbB
EG10778-MONOMER	EG10778	b1306	pspC
G6408-MONOMER	G6408	b0791	ybhQ
ALKAPHOSPHA-MONOMER	EG10727	b0383	phoA
SDAC-MONOMER	EG12142	b2796	sdaC
EG11199-MONOMER	EG11199	b3742	mioC
B2975-MONOMER	G7542	b2975	glcA
EG10876-MONOMER	EG10876	b3301	rplO
HEMN-MONOMER	EG11836	b3867	hemN
G7180-MONOMER	G7180	b2273	yfbN
HOMOCYSMET-MONOMER	EG10584	b3829	metE
G7051-MONOMER	G7051	b1963	drpB
EG12352-MONOMER	EG12352	b3775	ppiC
MONOMER0-4556	EG10821	b2217	rcsB
EG11724-MONOMER	EG11724	b3714	adeP
G6721-MONOMER	G6721	b1400	paaY
EG11212-MONOMER	EG11212	b4178	nsrR
G6495-MONOMER	G6495	b0960	yccS
GTP-CYCLOHYDRO-II-MONOMER	EG11331	b1277	ribA
EG10719-MONOMER	EG10719	b4098	phnJ
G7485-MONOMER	G7485	b2866	xdhA
G6326-MONOMER	G6326	b0581	ybdK
B2322-MONOMER	G7198	b2322	yfcJ
EG10442-MONOMER	EG10442	b1508	hipB
EG12166-MONOMER	EG12166	b0920	elyC
EG11987-MONOMER	EG11987	b2108	yehA
CYOC-MONOMER	EG10180	b0430	cyoC
CYSP-MONOMER	EG10195	b2425	cysP
G6139-MONOMER	G6139	b0265	insA2
IDONDEHYD-MONOMER	G7893	b4267	idnD
EG12054-MONOMER	EG12054	b2196	ccmF
EG11431-MONOMER	EG11431	b2398	yfeC
ARGSUCCINSYN-MONOMER	EG10068	b3172	argG
PHOSPHO-ARCB-HIS	EG10062	b3210	arcB
6PGLUCONDEHYDROG-MONOMER	EG10411	b2029	gnd
ADENPRIBOSYLTRAN-MONOMER	EG10051	b0469	apt
EG11949-MONOMER	EG11949	b4075	nrfF
EG12386-MONOMER	EG12386	b2664	glaR
MONOMER0-4254	G7894	b4272	insC6
GLUCOSE-1-PHOSPHAT-MONOMER	EG10033	b1002	agp
CREC-MONOMER	EG10730	b4399	creC
EG11911-MONOMER	EG11911	b3952	pflC
ATPF-MONOMER	EG10103	b3736	atpF
EG12006-MONOMER	EG12006	b2125	btsR
G6603-MONOMER	G6603	b1163	bluF
G7756-MONOMER	G7756	b3439	yhhW
G6688-MONOMER	G6688	b1365	ynaK
MONOMER0-1563	G0-9562	b4411	ecnB
RPOC-MONOMER	EG10895	b3988	rpoC
EG12194-MONOMER	EG12194	b0999	cbpM
EG11100-MONOMER	EG11100	b0471	ybaB
G7102-MONOMER	G7102	b2057	wcaC
PHOR-MONOMER	EG10733	b0400	phoR
POTH-MONOMER	EG11631	b0856	potH
NIKA-MONOMER	EG12075	b3476	nikA
G7683-MONOMER	G7683	b3238	yhcN
EG10658-MONOMER	EG10658	b2477	bamC
G6921-MONOMER	G6921	b1698	ydiR
EG11470-MONOMER	EG11470	b3826	yigL
G7023-MONOMER	G7023	b1873	torY
EG10813-MONOMER	EG10813	b1351	racC
YEIJ-MONOMER	EG12029	b2161	nupX
ARTQ-MONOMER	EG11626	b0862	artQ
EG11249-MONOMER	EG11249	b2782	mazF
G7346-MONOMER	G7346	b2562	yfhL
EG10921-MONOMER	EG10921	b1905	ftnA
MONOMER0-4201	G0-10689	b4702	mgtL
G6446-MONOMER	G6446	b0848	ybjM
G6770-MONOMER	G6770	b1463	nhoA
3-OXOACYL-ACP-SYNTHII-MONOMER	EG12606	b1095	fabF
GLUTRNAREDUCT-MONOMER	EG10427	b1210	hemA
EG11134-MONOMER	EG11134	b1765	ydjA
EG12099-MONOMER	EG12099	b4147	efp
MONOMER0-4417	G0-16735	b4740	ymgM
G6425-MONOMER	G6425	b0822	ybiV
MONOMER0-4232	G6327	b0582	insL2
G7430-MONOMER	G7430	b2760	casA
ARGSUCCINLYA-MONOMER	EG11223	b3960	argH
EG12371-MONOMER	EG12371	b3163	nlpI
MONOMER0-4425	G0-16742	b4748	ynfT
EG11118-MONOMER	EG11118	b1086	rluC
EG10836-MONOMER	EG10836	b1564	relB
EG10863-MONOMER	EG10863	b3643	rph
EG11938-MONOMER	EG11938	b4061	pdeC
PKII-MONOMER	EG10803	b1854	pykA
ALDHDEHYDROG-MONOMER	EG10036	b1300	puuC
G7528-MONOMER	G7528	b2952	yggT
G7858-MONOMER	G7858	b4196	ulaD
G6305-MONOMER	G6305	b0549	ybcO
YTFR-MONOMER	EG12518	b4485	ytfR
G7845-MONOMER	G7845	b4180	rlmB
PD00250	EG10093	b3743	asnC
EG11287-MONOMER	EG11287	b2732	ygbA
OPPB-MONOMER	EG10675	b1244	oppB
G7071-MONOMER	G7071	b1987	cbl
EG12431-MONOMER	EG12431	b1299	puuR
G7061-MONOMER	G7061	b1973	zinT
EG11918-MONOMER	EG11918	b4002	zraP
G6087-MONOMER	G6087	b0024	yaaY
RED-THIOREDOXIN-MONOMER	EG11031	b3781	trxA
EG12116-MONOMER	EG12116	b0464	acrR
EG11295-MONOMER	EG11295	b3785	wzzE
EG11372-MONOMER	EG11372	b2559	tadA
NIRC-MONOMER	EG10654	b3367	nirC
G7944-MONOMER	G7944	b4357	lgoR
G6835-MONOMER	G6835	b1568	ydfX
G7168-MONOMER	G7168	b2255	arnA
LARGEILVB-MONOMER	EG10494	b3671	ilvB
RPOE-MONOMER	EG11897	b2573	rpoE
YHJE-MONOMER	EG12249	b3523	yhjE
G6970-MONOMER	G6970	b1784	yeaH
NUOI-MONOMER	EG12089	b2281	nuoI
EG11290-MONOMER	EG11290	b2152	yeiB
G6756-MONOMER	G6756	b1445	ortT
EG11879-MONOMER	EG11879	b3929	rraA
EG10042-MONOMER	EG10042	b0111	ampE
EG11350-MONOMER	EG11350	b3629	waaS
EG11464-MONOMER	EG11464	b3817	yigF
EG10605-MONOMER	EG10605	b0149	mrcB
HISM-MONOMER	EG10007	b2307	hisM
ENTE-MONOMER	EG10263	b0594	entE
EG12163-MONOMER	EG12163	b3289	rsmB
MONOMER0-2	EG12407	b0828	iaaA
EG12247-MONOMER	EG12247	b3521	rcdB
G7713-MONOMER	G7713	b3344	tusC
MONOMER0-4573	EG12178	b4136	dsbD
EG11323-MONOMER	EG11323	b2909	ygfB
G6728-MONOMER	G6728	b1409	ynbB
G6226-MONOMER	G6226	b0375	iprA
EG11876-MONOMER	EG11876	b3922	yiiS
G7213-MONOMER	G7213	b2342	fadI
EG12333-MONOMER	EG12333	b0157	yadS
G7354-MONOMER	G7354	b2603	yfiR
PHENYLPRODIOXY-MONOMER	M009	b2538	hcaE
EG12861-MONOMER	EG12861	b1915	yecF
G6153-MONOMER	G6153	b0282	yagP
G6458-MONOMER	G6458	b0874	lysO
LEUC-MONOMER	EG11576	b0072	leuC
EG10909-MONOMER	EG10909	b3321	rpsJ
YJEM-MONOMER	EG12475	b4156	yjeM
THII-MONOMER	G6238	b0423	thiI
G7673-MONOMER	G7673	b3219	yhcF
G7252-MONOMER	G7252	b2390	ypeC
EG11422-MONOMER	EG11422	b2237	inaA
EG10865-MONOMER	EG10865	b3317	rplB
AROL-MONOMER	EG10082	b0388	aroL
DPPC-MONOMER	EG12626	b3542	dppC
PD00232	EG10184	b1275	cysB
EG10299-MONOMER	EG10299	b0585	fes
G7590-MONOMER	G7590	b3052	hldE
EG10918-MONOMER	EG10918	b3316	rpsS
G7232-MONOMER	G7232	b2363	yfdT
G7096-MONOMER	G7096	b2045	wcaK
FHUD-MONOMER	EG10305	b0152	fhuD
MONOMER0-1604	G0-9610	b4428	hokB
SPERMACTRAN-MONOMER	G6842	b1584	speG
EG12165-MONOMER	EG12165	b0922	mukF
G6822-MONOMER	G6822	b1549	ydfO
TYRS-CPLX	EG11043	b1637	tyrS
EG10374-MONOMER	EG10374	b3447	ggt
EG10486-MONOMER	EG10486	b2729	hypD
EG11245-MONOMER	EG11245	b2930	yggF
G6969-MONOMER	G6969	b1783	yeaG
G6830-MONOMER	G6830	b1559	ydfT
G7888-MONOMER	G7888	b4261	lptF
G6127-MONOMER	G6127	b0252	yafZ
G7316-MONOMER	G7316	b2505	yfgH
EG11676-MONOMER	EG11676	b3932	hslV
BGLF-MONOMER	EG10115	b3722	bglF
PROS-CPLX	EG10770	b0194	proS
MONOMER0-4524	EG10574	b4346	mcrB
EG11088-MONOMER	EG11088	b0113	pdhR
RPOB-MONOMER	EG10894	b3987	rpoB
LIVH-MONOMER	EG10538	b3457	livH
G6371-MONOMER	G6371	b0682	chiQ
EG11128-MONOMER	EG11128	b1282	yciH
EG10236-MONOMER	EG10236	b4052	dnaB
AGAX-MONOMER	EG12322	b0129	yadI
G6588-MONOMER	G6588	b1144	ymfJ
PHOSPHO-HYDG	EG10482	b4004	zraR
G6242-MONOMER	G6242	b0441	ppiD
G7607-MONOMER	G7607	b3088	alx
SFUA-MONOMER	EG11574	b0068	thiB
PD00283	EG10974	b2707	srlR
XYLULOKIN-MONOMER	EG11075	b3564	xylB
MONOMER0-4248	G0-10531	G0-10531	insEF4
DMSA-MONOMER	EG10232	b0894	dmsA
G7750-MONOMER	G7750	b4475	rtcA
G6210-MONOMER	G6210	b0358	yaiO
EG11354-MONOMER	EG11354	b2685	emrA
G6729-MONOMER	G6729	b1410	ynbC
G7394-MONOMER	G7394	b2659	glaH
G6592-MONOMER	G6592	b1148	ymfM
EG11601-MONOMER	EG11601	b2522	sseB
G6287-MONOMER	G6287	b0518	fdrA
G6953-MONOMER	G6953	b1758	ynjF
CARBOXYL-TRANSFERASE-BETA-MONOMER	EG10217	b2316	accD
G7933-MONOMER	G7933	b4336	yjiN
G7849-MONOMER	G7849	b4184	yjfL
MONOMER0-154	G7300	b2483	hyfC
KDPE-MONOMER	EG10517	b0694	kdpE
G7444-MONOMER	G7444	b2778	ygcG
EG11506-MONOMER	EG11506	b3178	ftsH
PROTEIN-NRI	EG10385	b3868	glnG
EG10651-MONOMER	EG10651	b2159	nfo
G7690-MONOMER	G7690	b4472	yhdP
LCTP-MONOMER	EG11961	b3603	lldP
EG12234-MONOMER	EG12234	b3499	rlmJ
RIBOFLAVINSYNDEAM-MONOMER	EG11321	b0414	ribD
EG11516-MONOMER	EG11516	b1188	ycgB
G6816-MONOMER	G6816	b1542	ydfI
UROGENDECARBOX-MONOMER	EG11543	b3997	hemE
PD00197	EG10325	b1334	fnr
G6361-MONOMER	G6361	b0658	ybeX
EG12013-MONOMER	EG12013	b2132	bglX
ATOS-MONOMER	EG11667	b2219	atoS
EG50003-MONOMER	EG50003	b1094	acpP
TRANSALDOLA-MONOMER	EG11797	b2464	talA
EG10439-MONOMER	EG10439	b0460	hha
G6329-MONOMER	G6329	b0600	ybdL
G6888-MONOMER	G6888	b1648	ydhL
EG11824-MONOMER	EG11824	b3009	yghB
EG11977-MONOMER	EG11977	b1950	fliR
G6684-MONOMER	G6684	b1360	ydaV
G6570-MONOMER	G6570	b1112	bhsA
G7188-MONOMER	G7188	b2294	yfbU
G6183-MONOMER	G6183	b0318	yahD
EG10761-MONOMER	EG10761	b1211	prfA
G6960-MONOMER	G6960	b1773	ydjI
EG11901-MONOMER	EG11901	b1347	rcbA
MALTODEXGLUCOSID-MONOMER	EG10565	b0403	malZ
EG12035-MONOMER	EG12035	b2171	yeiP
YADH-MONOMER	EG12321	b0128	yadH
G7196-MONOMER	G7196	b2304	yfcH
EG10204-MONOMER	EG10204	b3387	dam
INORGPYROPHOSPHAT-MONOMER	EG10755	b4226	ppa
G6323-MONOMER	G6323	b0577	ybdG
G6245-MONOMER	G6245	b0444	queC
EG12016-MONOMER	EG12016	b2135	yohC
ARCB-MONOMER	EG10062	b3210	arcB
YEAV-MONOMER	G6987	b1801	yeaV
PTSI-PHOSPHORYLATED	EG10789		ptsI
EG11727-MONOMER	EG11727	b3717	cbrC
EG11334-MONOMER	EG11334	b3647	ligB
GLUCONOKINII-MONOMER	EG12629	b3437	gntK
G7862-MONOMER	G7862	b4204	yjfZ
EG11833-MONOMER	EG11833	b3862	yihG
G6128-MONOMER	G6128	b0253	ykfA
MONOMER0-4276	EG12006	b2125	btsR
YTFT-MONOMER	EG12520	b4230	ytfT
TREHALOSE6PSYN-MONOMER	EG11751	b1896	otsA
MONOMER0-150	G7304	b2487	hyfG
EG11171-MONOMER	EG11171	b3064	tsaD
NARJ-MONOMER	EG10641	b1226	narJ
G6600-MONOMER	G6600	b1160	iraM
YRBG-MONOMER	EG12802	b3196	yrbG
EG10857-MONOMER	EG10857	b2567	rnc
EG10309-MONOMER	EG10309	b4312	fimB
EG10889-MONOMER	EG10889	b3936	rpmE
CARBPSYN-LARGE	EG10135	b0033	carB
G6399-MONOMER	G6399	b0769	ybhH
EG12298-MONOMER	EG12298	b3614	yibQ
EG12286-MONOMER	EG12286	b3582	sgbU
EG12290-MONOMER	EG12290	b3586	yiaV
THREDEHYDCAT-MONOMER	EG10990	b3117	tdcB
EG11548-MONOMER	EG11548	b1653	lhr
EG11302-MONOMER	EG11302	b1573	ydfC
G7649-MONOMER	G7649	b3155	yhbQ
G7886-MONOMER	G7886	b4256	yjgM
G7711-MONOMER	G7711	b3333	gspL
