Proteins	Genes	Accession-1 of Gene	Common-Name
ACETATEKINA-MONOMER	EG10027	b2296	ackA
G7234-MONOMER	G7234	b2371	yfdE
G6647-MONOMER	G6647	b1309	ycjM
G6833-MONOMER	G6833	b1566	flxA
PGLYCDEHYDROG-MONOMER	EG10944	b2913	serA
PHOSMANMUT-MONOMER	EG10162	b2048	cpsG
MONOMER0-12	G0-10439	b4513	kdpF
G7295-MONOMER	G7295	b2466	ypfG
EG12335-MONOMER	EG12335	b0162	cdaR
SFUC-MONOMER	EG11572	b0066	thiQ
EG12159-MONOMER	EG12159	b0391	ppnP
G6892-MONOMER	G6892	b1655	mepH
EG10890-MONOMER	EG10890	b1089	rpmF
YCJN-MONOMER	G6648	b1310	ycjN
ASPAMINOTRANS-MONOMER	EG10096	b0928	aspC
MONOMER0-1041	G0-9121	b4539	yoeB
GLVB-MONOMER	EG11709	b3682	glvB
EG11762-MONOMER	EG11762	b3592	yibF
G7040-MONOMER	G7040	b1932	yedL
G7227-MONOMER	G7227	b2358	yfdO
G6882-MONOMER	G6882	b1642	slyA
EG11846-MONOMER	EG11846	b3881	yihT
EG11206-MONOMER	EG11206	b4011	yjaA
PD00339	EG11795	b2808	gcvA
NARX-MONOMER	EG10646	b1222	narX
METHYLENETHFREDUCT-MONOMER	EG10585	b3941	metF
EG12421-MONOMER	EG12421	b0803	ybiI
CELB-MONOMER	EG10141	b1737	chbC
SUCCARGDIHYDRO-MONOMER	G6941	b1745	astB
SUPEROX-DISMUTMN-MONOMER	EG10953	b3908	sodA
EG12188-MONOMER	EG12188	b2829	ptsP
G6396-MONOMER	G6396	b0762	acrZ
G6274-MONOMER	G6274	b0504	allS
ARAG-MONOMER	EG10058	b1900	araG
EG11438-MONOMER	EG11438	b1087	yceF
SPOT-MONOMER	EG10966	b3650	spoT
EG50004-MONOMER	EG50004	b0953	rmf
EG10844-MONOMER	EG10844	b3780	rhlB
CAIT-MONOMER	EG11561	b0040	caiT
EG11195-MONOMER	EG11195	b3697	yidA
EG12870-MONOMER	EG12870	b1322	ycjF
MONOMER0-4368	G0-16673	b4672	ymiB
G7748-MONOMER	G7748	b3414	nfuA
EG12221-MONOMER	EG12221	b3475	acpT
TDCC-MONOMER	EG10991	b3116	tdcC
EG10575-MONOMER	EG10575	b4345	mcrC
MONOMER0-4552	G0-17099	b4821	ytcB
G6158-MONOMER	G6158	b0287	yagU
THIC-MONOMER	EG11585	b3994	thiC
PRAI-IGPS	EG11026	b1262	trpC
EG11580-MONOMER	EG11580	b0800	ybiB
EG12048-MONOMER	EG12048	b2186	yejK
G6201-MONOMER	G6201	b0346	mhpR
G6749-MONOMER	G6749	b1438	hicB
G7307-MONOMER	G7307	b2490	hyfJ
EG10885-MONOMER	EG10885	b2185	rplY
G7362-MONOMER	G7362	b2627	abpB
G6253-MONOMER	G6253	b0458	ylaC
EG11511-MONOMER	EG11511	b0009	mog
EG11373-MONOMER	EG11373	b2558	mltF
SUCB-DIHYDROLIPOATE	EG10980	b0727	sucB
EG11346-MONOMER	EG11346	b1937	fliE
ASCF-MONOMER	EG10086	b2715	ascF
EG11211-MONOMER	EG11211	b4155	epmA
G7737-MONOMER	G7737	b3393	hofO
PD03695	EG10166	b3556	cspA
MODF-MONOMER	EG11677	b0760	modF
EG11497-MONOMER	EG11497	b3259	prmA
YBDE-MONOMER	EG12367	b0575	cusA
MONOMER0-2824	G0-10596	b4605	ypaB
GCVP-MONOMER	EG11810	b2903	gcvP
PGPPHOSPHAB-MONOMER	EG10705	b1278	pgpB
EG11062-MONOMER	EG11062	b0779	uvrB
G7446-MONOMER	G7446	b2788	gudX
G7837-MONOMER	G7837	b4149	blc
DIENOYLCOAREDUCT-MONOMER	G36	b3081	fadH
EG11998-MONOMER	EG11998	b2119	yehL
TAR-MONOMER	EG10988	b1886	tar
EG10825-MONOMER	EG10825	b2822	recC
EG10241-MONOMER	EG10241	b0014	dnaK
MONOMER0-2830	G0-10608	b4622	ytcA
EG12019-MONOMER	EG12019	b2137	yohF
EG10832-MONOMER	EG10832	b2565	recO
EG10488-MONOMER	EG10488	b2753	iap
FOCA-MONOMER	EG11258	b0904	focA
EG11570-MONOMER	EG11570	b0055	djlA
PGAM2-MONOMER	EG12164	b4395	ytjC
ANGLYC3PDEHYDROGSUBUNITB-MONOMER	EG10392	b2242	glpB
EG12002-MONOMER	EG12002	b2121	yehP
G7177-MONOMER	G7177	b2270	yfbK
FLIM-FLAGELLAR-C-RING-SWITCH	EG10323	b1945	fliM
EG10609-MONOMER	EG10609	b3250	mreC
G6904-MONOMER	G6904	b1678	ldtE
G7708-MONOMER	G7708	b3330	gspI
MALF-MONOMER	EG10555	b4033	malF
EG11251-MONOMER	EG11251	b1214	ychA
ALPHAGALACTOSID-MONOMER	EG10577	b4119	melA
2-ISOPROPYLMALATESYN-MONOMER	EG11226	b0074	leuA
PNTA-MONOMER	EG10744	b1603	pntA
EG12851-MONOMER	EG12851	b0643	ybeL
TETRAACYLDISACC4KIN-MONOMER	EG11409	b0915	lpxK
