# Generated from the following BioVelo query on EcoCyc, 10:53am, November 3, 2024: html-sort-ascending(html-table-headers([(t^?frame-id, [c: c<-t^components, c isa genes]) : t<-ECOLI^^Transcription-Units, !(classp t)], ("Frame ID", "Component genes")), 2)
TU0-13494	wzzB
TU00081	ilvI,ilvH
TU0-1002	astE,astB,astD,astA,astC
TU0-42622	sdiA
TU0-13513	rcnR
TU0-14398	crp
TU0-14050	bioP
TU00036	lacA,lacY,lacZ
TU0-14164	paeA
TU00060	pyrC
TU0-1222	efp
TU00176	dps
TU0-8585	yhhS
TU0-8182	gloA
TU0-8630	yjjZ
TU0-6513	sbcB
TU0-4681	idnK
TU0-12926	ampG
TU0-14812	rnlB
TU0-14523	rfbX,rfbC,rfbA
TU0-13814	pppA
TU0-13203	yciW
TU0-13090	ldtD
TU0-5201	apaH,apaG,rsmA,pdxA
TU0-8831	insH1
TU0-13643	ypfH
TU0-13436	yebE
TU0-13601	yfdI,yfdH,yfdG
TU0-45254	aceF,aceE
TU00092	fabA
TU0-4343	mutT,secA,secM
TU0-14212	opgB
TU0-8748	ygeV
TU0-13628	intZ
TU489	hupB
TU00099	araJ
TU0-8545	yafV
TU0-14364	mnmA
TU0-13846	hldE
TU0-6441	alaS
TU00325	proB,proA
TU00096	dctR,slp
TU00246	btuD,btuE,btuC
TU0-14311	frwD
TU0-8380	lpp
TU0-12790	mog
TU0-45261	lapB,lapA
TU00104	fumA
TU0-14656	yhbS,ubiT
TU0-14365	ybcH
TU00061	pyrD
TU0-13661	yphA
TU0-8146	ytfK
TU0-13485	tmaR
TU0-12886	rclR
TU0-12888	ykgH
TU0-14798	topB,selD
TU0-6885	pabA,fic,yhfG
TU0-44204	mngB
TU0-14671	dicD
TU0-14160	ytfF
TU0-8464	rplL
TU0-8654	yqgD
TU0-14814	pgk
TU0-14282	ftnB
TU802	hflC,hflK,hflX,hfq,miaA,mutL,amiB,tsaE,nnr
TU0-13072	rlmC,ybjO
TU0-14044	rarD
TU0-13613	ypdC,pyrR,pyrS
TU0-13111	yccM
TU0-14227	qorA
TU0-42688	yihS,yihT,yihU
TU0-14168
TU0-13233	trkG
TU0-8716	yecF
TU0-42471	metH
TU0-4221	bamD
TU0-42475	leuO
TU0-13141	lolE,lolD,lolC
TU562	pqiC,pqiB,pqiA
TU0-8201	ybjP
TU0-13061	ybiV
TU0-3422	recR,ybaB
TU00095	aidB
TU0-4904	yeaD,gapA
TU0-4287	pdxA,surA,lptD
TU0-44217	speE
TU0-13115
TU0-13822	yghB
TU0-8807	guaC
TU0-14530	rrfE,rrlE
TU00421	clpB
TU0-8642	ynjH
TU0-13286	adhP
TU0-13128	dinI
TU0-14632	yeaH,yeaG
TU0-13211	puuE,puuB,puuC
TU0-1198	uspB
TU0-14156	bsmA
TU00347	rpsQ,rpmC,rplP,rpsC,rplV,rpsS,rplB,rplW,rplD,rplC,rpsJ
TU00470	glgP,glgA,glgC
TU0-42458	csrA
TU0-8804	gltS
TU00018	deoC,deoA,deoB,deoD
TU0-13160	ycgZ
TU0-13302	dgcF
TU0-12789	yaaJ
TU0-14793	acrD
TU743	rnpA,rpmH
TU00414	ftsH,rlmE
TU0-14678	artM,artQ,artI,artP
TU0-13725	casA,casB,casC,casD,casE,cas1,cas2
TU0-964	mpl
TU0-8347	dcuR,dcuS
TU0-8344	fhlA,hypE,hypD,hypC,hypB,hypA
TU0-13630	yffN,yffM
TU0-13904	csrD
TU0-42578	galE
TU0-13155
TU0-45251	cfa
TU0-12833	tilS
TU0-1191	rrfF,thrV,rrfD,rrlD,alaU,ileU,rrsD
TU0-7802	slyB
TU0-12812	nadC
TU0-12957	fetB,fetA
