"genes_rank_std"	"std_rank_std"	"skew_rank_std"	"kurt_rank_std"	"genes_rank_skew"	"std_rank_skew"	"skew_rank_skew"	"kurt_rank_skew"	"genes_rank_kurt"	"std_rank_kurt"	"skew_rank_kurt"	"kurt_rank_kurt"
"yaeF"	0.6270130496367645	0.8105060283272101	6.775531374594596	"yjjM"	1.3736765638760424	-0.6428818422969552	0.18748653496199763	"hyfC"	0.8315293119912694	0.9115867983132044	0.26391391515655327
"ypfG"	0.6272305346136746	0.8279245352106317	1.723260419519253	"yfbT"	0.6692374841086953	-0.6427178417580944	0.44787664989493203	"yjtD"	0.5931233378729536	0.43300450773500493	0.2640384042096553
"argE"	0.6274462751949014	-0.03532019641858871	2.467269840679605	"lpxH"	0.5767883216981706	-0.6417853425238478	0.7663713382399973	"lptF"	0.5986928927630507	-0.14472834504887808	0.2641118347195679
"ppsR"	0.6275505377235737	-0.31600058135871406	-0.05580485332390683	"tgt"	0.8545141450684316	-0.6416728262827034	0.8464201092677368	"secD"	0.8888657792334781	-0.5562774875346466	0.26420604651611557
"ycjX"	0.6279637899946807	-0.6594841460909608	8.904221168347027	"uspA"	1.2593696545073663	-0.6387720299218703	0.003548382441223019	"ybdJ"	1.5918063255882293	0.9201118836048772	0.2645108008971975
"ddpB"	0.6281423462958964	-0.15719616440580086	2.1413504889875385	"tsaB"	0.9894234681683258	-0.6378209564279825	-0.30381569610781156	"fumC"	0.934604151089355	0.42037138868844015	0.264659311233697
"yfcP"	0.6281780980818527	1.015641395808795	2.1632569750561768	"glxK"	0.9855521764541355	-0.6377877356966827	-0.4443349878722782	"yibD"	1.001744963494098	0.845284401409197	0.2652607750609062
"aroH"	0.6282282129222121	0.08369543504477563	-0.050447576170588704	"nuoH"	1.0322918067438318	-0.6375225291803871	-0.269331863908687	"ybgE"	0.8934780159283952	0.0013379551140663972	0.2659112031452251
"xapR"	0.6283479555399376	-0.862179885054414	3.653138141501093	"secG"	0.9978777318997997	-0.6375039951889433	-0.09027629478923238	"ycgJ"	0.6843629988216785	-0.2726548050014868	0.26593763368890455
"yehI"	0.6284461713065613	0.818756645463361	0.6853779221984455	"ispE"	0.8023139770989081	-0.6365858169745872	-0.20766854696094184	"ubiA"	0.612906107672631	-0.049998103306001726	0.2664080867104408
"sdsP"	0.6285223479973323	-0.5767147451809371	2.0043502848812	"moaC"	0.965555331454492	-0.6357939164772481	0.9428678143082663	"mlaE"	0.6233109680736382	-0.3719486157153946	0.26670284345501205
"rsuA"	0.6286802730013665	-0.868959067807844	1.2440620922665122	"eptB"	0.7368983195534196	-0.6338370776644402	0.4990660907597011	"yadC"	1.303280938700485	1.1570353735009118	0.2685302160553942
"yaeQ"	0.6290413808449553	-0.7044762731116226	0.01914330052726365	"alkA"	0.6563876742467332	-0.6332544774111709	1.0416594334261458	"yhjH"	1.292582741543351	0.8658684255047333	0.26892909587816227
"allS"	0.6290572773329549	0.7878352749593169	1.5727454225448216	"ccmB"	0.6056024018481907	-0.631399056192623	1.208229030066633	"tar"	1.4653044090157095	0.5988087227321134	0.2698442830048635
"rhsC"	0.6290921907824161	-0.2877532340483457	1.8183215580800196	"gntR"	0.45365310383079377	-0.6305651317573094	3.7990198367854884	"cedA"	0.8949744036617167	0.7199842693276172	0.2705517437030096
"ttcA"	0.6292891444280935	-0.13135175013551934	0.5903342760711632	"tyrS"	0.7404378034509076	-0.6296389652189583	0.09030369611139255	"der"	0.7407009729853713	0.10626342283096644	0.2708042510957678
"dsbB"	0.6292966969539121	0.10502668811691977	0.9081576423660729	"slyA"	0.7885630046391323	-0.6285226445786892	0.6261336596954714	"sufC"	0.9103519423598285	0.669853258938946	0.27208240270967643
"hcaC"	0.6293908416014445	0.7885828595115716	3.42556897550163	"mltB"	0.7975211778630367	-0.6279846306927596	2.7150391150700433	"leuA"	1.748688730751107	-0.45200476624768604	0.2721152305964556
"paoC"	0.6299548138556421	-1.2821286722479943	6.6257559761195814	"glnL"	1.0235307322288953	-0.6275703290611023	3.2117203211494862	"pgm"	0.5723810040194977	-0.37436571986445233	0.27290675183383684
"phr"	0.6300156034941916	-0.17720030450642152	-0.010701623754152845	"mppA"	0.792810861629643	-0.6273950268519841	2.0211558289434777	"rnhB"	0.9275012088874578	-0.8495072627310483	0.273088648648252
"ycgM"	0.630154111923901	-0.42981624593425694	0.7310537920894316	"phoP"	0.703931525151016	-0.6265593253106626	2.249461132744223	"metN"	0.892195038023156	0.21713700611150274	0.2740463444039647
"yccT"	0.63016825234509	1.330094558855376	3.096378063319329	"yiiM"	0.464324029992238	-0.6264192199966434	1.8287102329647045	"trxB"	0.8379343043627362	-0.9164388813145671	0.2743103508242255
"dacB"	0.63034348775382	-1.4607711987805425	4.448510379522282	"rtcR"	0.8359660839525305	-0.6260270973087454	2.955380201997139	"yafW"	0.8797213080628798	-0.30558573066741795	0.2747503709017005
"ytfL"	0.6304565032882232	0.6267054870984895	0.06562444629420439	"nagE"	1.426915297092269	-0.6246852705357984	-0.6212531959396173	"ytjC"	0.6014624910838997	-0.1931696552295907	0.2750847108499128
"yebZ"	0.6304912025607882	0.08854787644850808	0.9193343143105532	"rbsB"	1.216205588308238	-0.6241570261895313	1.0204948412202866	"fbaA"	0.9635160379004453	-0.18563486355804357	0.27598477277433187
"mog"	0.6305507938514229	-0.41535325605864326	0.43253072458639696	"ptrA"	0.47116713682519545	-0.6238125385000014	2.7740534764374836	"hda"	0.704050520704594	-0.12177892989074654	0.27737708612806733
"emtA"	0.6305769804581575	-0.35400614145296555	0.603752756876248	"yqiA"	0.6977174801528626	-0.6220329943712123	-0.1340125932146572	"pphB"	1.4592484865431166	1.1512958303516834	0.2788416024564828
"tusC"	0.630865510553222	-0.4949713910088902	1.6885044157654372	"yqhA"	0.7901426701887531	-0.6214500812427661	1.1223768649108248	"ycbL"	0.5895680519579614	-0.1163145319695613	0.2798270460347214
"clpS"	0.6310063940737175	-0.11183189922001362	1.0048122119137375	"yegK"	1.1166359298923245	-0.6212319660138216	-0.5788254716283951	"yadI"	0.6738757116414915	0.4401902768663115	0.2804002491740727
"yrfF"	0.6311121998794053	-0.20405237669674697	0.03931273061787133	"fklB"	0.6733275395954822	-0.6210941954570771	0.17440066665258547	"fucR"	0.639803948752427	0.3594147791097366	0.2809306456384255
"aslA"	0.6311930919009503	-0.15889490982123328	1.5676631987579217	"mraY"	0.7158771999607036	-0.6198029512492065	1.1279921532751533	"folD"	0.7453576228539096	-0.6988535866892778	0.2817292312649551
"sspA"	0.6313706011929985	-0.9018182924462987	2.6045875718604146	"waaA"	0.8889377672293242	-0.6194232261944348	0.1553726554766235	"ysaA"	0.9474449462176121	0.9353474153839685	0.2824283261271261
"ydhW"	0.6314141902945865	0.7362095113341044	2.0512687560552054	"cbeA"	0.8280882821066212	-0.6189114448259883	2.391071581466943	"thiH"	1.0141987495734421	0.9912588131269389	0.2825484781256149
"torC"	0.6316264547839546	-0.27486811682322654	3.3621569824467707	"bcp"	0.7820943483785192	-0.6188248339401126	2.2042832985972423	"hisG"	0.8894469160683718	0.7178212964171075	0.2836459518738388
"ftsX"	0.631874168949486	-0.19989002360276636	1.5398597185378895	"mdtQ"	0.7659688779888238	-0.6177346670269145	-0.4681979992511782	"yjiY"	1.6264207295115862	0.030527651246165854	0.2840931832952762
"ybbY"	0.6319616418965913	1.1468680790754362	4.767870035097045	"ldcA"	0.4773377633247188	-0.6174631946137935	1.8135220769870122	"rpmH"	0.9709717435573308	-0.7022061826413682	0.2851232442072833
"yihL"	0.6319800452677901	-0.09362316579585443	1.3526183006436847	"idi"	0.8415954163372198	-0.6170308030329918	1.5505647423392412	"rbsC"	1.0527823289256573	-0.005819726308392135	0.2854861331881535
"yfiC"	0.6320797803306657	-1.1163498775726715	2.286066140732088	"zapA"	0.7130455002760057	-0.6164326718217282	3.569178617046103	"trmI"	0.9626258167436389	-0.8575582528391392	0.28583699839688537
"ynjA"	0.632229329029448	-0.31158538019052906	1.9535967306371553	"ubiH"	0.4985363238222736	-0.6155016235129774	1.8331835505245202	"glgB"	0.674450644160578	-0.07590469874182226	0.28662660772288584
"yjeP"	0.6327192706933183	-1.1607093481517279	4.5169565469343	"yhbX"	0.597042519436482	-0.6144490905781754	1.8172178237605046	"rsmB"	0.6744673719603639	-0.6996001453755889	0.2870072213788255
"prlF"	0.6327865724739585	0.42270519328048584	2.233427512926906	"yegZ"	0.8224832070603809	-0.6143709009492879	2.7094022109859814	"moeA"	1.1706808008900087	-1.0959958282601951	0.28723716181868886
"ruvC"	0.6329509241901347	0.2704731697262149	1.7684167951595215	"bioH"	0.7090955095719178	-0.6140398700947988	3.7642926156711685	"lrp"	0.9398780322884361	-0.15680110658931995	0.28772214394617945
"yeiL"	0.6330026336352711	0.7651382034025733	0.5489127351479826	"sdhD"	1.3980976170714667	-0.6131166922527691	-0.32570319182858887	"yjeT"	0.520543123751004	0.13663775382880522	0.28780222384259124
