"rank_range"	"range"	"rank_ci_95"	"ci_95"	"rank_iqr"	"iqr"	"rank_best_95"	"best_95"
"rsmE"	4.179120000000001	"yiiM"	0.9100750987847864	"ygfS"	0.4792675000000006	"ylbF"	1.8357349999999961
"rsmA"	4.17953	"yjeH"	0.9106772097436694	"etp"	0.4804125000000017	"ptrA"	1.8375225000000004
"degQ"	4.181589999999999	"yfiH"	0.911818047209188	"hcaD"	0.48060749999999963	"plsB"	1.8375442499999988
"epmA"	4.182130000000001	"btuC"	0.9120800737156717	"mlaB"	0.48100000000000165	"amiC"	1.8402785000000002
"djlA"	4.1869499999999995	"ycbF"	0.9127315816520821	"yadG"	0.4819899999999997	"csdE"	1.8427862500000014
"ydjA"	4.19107	"ybiR"	0.9133886390002417	"mngR"	0.4820100000000007	"elbB"	1.8432684999999989
"rsgA"	4.191490000000001	"ddlA"	0.9156523419349498	"yejF"	0.4821774999999988	"rutR"	1.8473354999999998
"dmsC"	4.191510000000001	"rsmA"	0.9160203075592558	"tesA"	0.48237999999999914	"ylbE_2"	1.8475137499999983
"ybgL"	4.1919200000000005	"wzyE"	0.9173753748267703	"ruvB"	0.4826724999999996	"prmA"	1.851076749999999
"mngB"	4.192640000000001	"bglA"	0.9175328805054825	"fadR"	0.4833249999999989	"torR"	1.8535277500000014
"fldB"	4.193059999999999	"malZ"	0.9175726277648505	"phnN"	0.4834725000000013	"xapB"	1.8554824999999981
"mrcB"	4.19747	"hemF"	0.9183402791433977	"kdsD"	0.4836000000000009	"ddlA"	1.8563175000000012
"ymbA"	4.204249999999999	"galR"	0.9186140387381799	"ybhK"	0.48396999999999935	"uvrD"	1.8568282499999995
"mltC"	4.2109499999999995	"yjbB"	0.9190297549371985	"fucU"	0.4844474999999999	"creC"	1.8569122500000006
"mazG"	4.211589999999999	"treR"	0.919120053698667	"eutQ"	0.48518999999999934	"dusA"	1.8608362500000002
"lhr"	4.2124299999999995	"ybhJ"	0.920016775445278	"hyfF"	0.48567249999999973	"mhpC"	1.861409499999997
"rnb"	4.21717	"ulaF"	0.9201517993510929	"ampE"	0.48744999999999905	"cca"	1.8626507499999985
"glk"	4.21956	"yhjK"	0.9217722176686988	"gmhB"	0.4881000000000011	"dnaT"	1.8631809999999955
"ftsE"	4.223420000000001	"bcsZ"	0.9220427956982867	"ygaV"	0.48861249999999856	"fhuC"	1.8632964999999988
"moaE"	4.223470000000001	"lpoA"	0.9221426704447193	"ftsI"	0.48963999999999963	"yihR"	1.864343749999998
"yicC"	4.22373	"yhdZ"	0.922776051308531	"yaiU"	0.4896799999999999	"menA"	1.8675895000000011
"sohB"	4.22758	"ptrA"	0.9234875881773831	"qseC"	0.4897025000000017	"yebQ"	1.8686489999999978
"lptG"	4.228979999999999	"yraR"	0.9245268600964849	"yhbQ"	0.4897949999999991	"nudK"	1.869327249999996
"ybfF"	4.2294	"rnd"	0.9248012927513477	"chbA"	0.4904975000000018	"pcm"	1.8695195000000009
"yggN"	4.234660000000001	"thiL"	0.9254412523539749	"yeiE"	0.4907649999999997	"thiL"	1.8708782500000005
"mnaT"	4.235199999999999	"mobA"	0.9254476888656256	"yfjP"	0.4913199999999991	"ybaO"	1.8717484999999954
"yehS"	4.23602	"ruvB"	0.9257139467169974	"murJ"	0.49329	"btuC"	1.8744879999999986
"caiA"	4.23673	"pncC"	0.9257508365958934	"oxyR"	0.49387000000000114	"mlaB"	1.8756319999999995
"tesA"	4.238159999999999	"serB"	0.9258060919753517	"pldB"	0.4943899999999992	"yhbS"	1.8759300000000003
"yfiE"	4.24495	"allR"	0.9262706881493551	"rcsB"	0.49480000000000146	"ftsE"	1.876367249999996
"tilS"	4.25949	"paaG"	0.9267519137894504	"ycaL"	0.49501999999999935	"glpE"	1.8768960000000003
"malZ"	4.2630099999999995	"envZ"	0.9290383799264964	"tldD"	0.49570749999999997	"yceM"	1.876961249999999
"pldA"	4.264079999999999	"marC"	0.9302650860512414	"gsiD"	0.496220000000001	"frlC"	1.8771539999999973
"ydjI"	4.27038	"yneH"	0.9305775374029915	"ybdM"	0.49637749999999947	"ftsA"	1.8816499999999987
"prfC"	4.2706	"yicN"	0.9311922245920443	"rffM"	0.4964049999999993	"ldcA"	1.8819712499999994
"lolE"	4.273599999999999	"nudF"	0.9313953605847313	"yraR"	0.4964675000000014	"hofC"	1.8826387499999964
"lgt"	4.2741	"amiC"	0.9319552156359775	"ycbX"	0.49680000000000035	"yphB"	1.883478249999996
"ccmE"	4.2749	"asmA"	0.9322546313711745	"bacA"	0.49691499999999955	"kdpE"	1.8839609999999976
"yqiA"	4.276109999999999	"yidH"	0.9334973161125573	"parC"	0.49739499999999914	"ybhJ"	1.8863704999999982
"yifK"	4.2787	"pcm"	0.9341960755512869	"ccmF"	0.49746999999999986	"allR"	1.8911109999999987
"ispB"	4.28368	"tas"	0.9342564334743796	"baeR"	0.4977499999999999	"sbcB"	1.8917604999999984
"rlmM"	4.28383	"yegD"	0.9342858848424002	"yfiF"	0.4985400000000002	"ybhR"	1.8921579999999985
"thyA"	4.28502	"ybhR"	0.9344390183254588	"ypeA"	0.498664999999999	"yfcF"	1.8925697499999998
"sugE"	4.28745	"sgbH"	0.9354729170265584	"torD"	0.49912000000000045	"yjjA"	1.8962160000000008
"yiaJ"	4.28757	"ldcA"	0.9355820161164488	"yicN"	0.4991949999999985	"btuF"	1.8963839999999994
"rarA"	4.2900100000000005	"creD"	0.9360938225832175	"agaW"	0.4992575000000006	"tsaE"	1.897811499999996
"waaC"	4.292389999999999	"uvrC"	0.9365420722293906	"btuD"	0.4996799999999997	"marC"	1.8987082499999994
"agaA"	4.29241	"prmA"	0.9368940050823577	"tamA"	0.5004074999999997	"menF"	1.8992397499999996
"rtcB"	4.29287	"ymbA"	0.9378529535990797	"ychO"	0.5005499999999987	"selD"	1.9001699999999992
"ppiB"	4.296469999999999	"fhuC"	0.9382093712380134	"cbpM"	0.5007324999999998	"ybiR"	1.9008577499999992
"fixB"	4.29785	"dusA"	0.9382304365462656	"ydcO"	0.5009599999999992	"yneH"	1.9018012499999983
"nhaB"	4.304919999999999	"mtn"	0.9396470488585625	"elfD"	0.5011350000000006	"tamA"	1.9027749999999983
"ybbA"	4.307169999999999	"kdsC"	0.9404674033736344	"nadC"	0.5013950000000023	"ulaE"	1.9030482499999977
"ytfP"	4.307659999999999	"ftsP"	0.9423602511936068	"hscC"	0.5015924999999992	"ybbA"	1.9058424999999986
"rsmB"	4.30782	"yhbQ"	0.9424613779991314	"yceB"	0.50183	"yjaH"	1.9062914999999983
"nanR"	4.310709999999999	"hofC"	0.9430024041700004	"visC"	0.5018599999999989	"ssuB"	1.9063927500000002
"ytfL"	4.312819999999999	"kdpE"	0.9432178443459222	"ytfB"	0.5024274999999996	"nlpE"	1.9097355
"ytjB"	4.31561	"yfaZ"	0.9436794565327731	"lhr"	0.5029925000000013	"mak"	1.910181249999999
"dacC"	4.31915	"ubiG"	0.9442713705856188	"uvrC"	0.5031350000000003	"ygbN"	1.9102679999999994
"pldB"	4.320549999999999	"tehA"	0.9445923125897306	"iadA"	0.503285	"yicC"	1.9103502500000005
"parC"	4.32531	"elbB"	0.9453964670294432	"atl"	0.5037725000000002	"basS"	1.9106079999999999
"yghU"	4.326120000000001	"yfaS_2"	0.9456868693682864	"pcm"	0.5043000000000006	"asmA"	1.9111232499999975
"efeB"	4.3272900000000005	"nlpE"	0.9460399590851377	"damX"	0.5044000000000004	"yhhJ"	1.9116169999999997
"yghB"	4.32841	"yghB"	0.9469304284365304	"lpxL"	0.5044449999999987	"pdxK"	1.9117499999999996
"pgm"	4.33168	"yhhJ"	0.9475424796766972	"lplT"	0.5046800000000005	"rffC"	1.911884500000001
"ygjV"	4.33197	"yihA"	0.9477220361733406	"yqgE"	0.5049499999999991	"yjeT"	1.912521
"tmk"	4.337979999999999	"yaiI"	0.9481216006681086	"setA"	0.5050900000000009	"yghB"	1.91308875
"ydcU"	4.33813	"gltX"	0.9483767891608131	"nudK"	0.5051500000000004	"lnt"	1.9137072499999999
"menD"	4.339620000000001	"yhfK"	0.9484805130560837	"yciS"	0.5059400000000007	"yidH"	1.9157694999999997
"yajR"	4.33989	"sbcB"	0.9487450055657957	"crp"	0.5061	"dhaR"	1.9165097499999995
"yicL"	4.343229999999999	"hemH"	0.9514154104322	"ycaR"	0.5065249999999999	"yhhT"	1.9168279999999998
"uidR"	4.3439	"coaE"	0.951485626367696	"creB"	0.5065299999999997	"yejF"	1.91775975
