"genes_rank_std"	"std_rank_std"	"r_rank_std"	"genes_rank_r, ""std_rank_r"	"r_rank_r"
"ydcM"	0.45805294268828634	0.9976233272867526	"tusC"	0.630865510553222	0.9990562242023312
"yiiD"	0.45852231694426493	0.9927613873124039	"yhaO"	0.7104525718507364	0.9990509808772778
"yejF"	0.45903362748139664	0.9949859737010642	"pncB"	0.7237576182964043	0.9990490007790606
"ypeA"	0.4598404925393031	0.9953027850349526	"sdiA"	0.9579588453650886	0.9990435737298587
"amiD"	0.4612815396023452	0.9925922792054225	"mdfA"	0.571331910859274	0.9990311289672928
"rlmA"	0.4614102458905999	0.9983778389629919	"aspC"	0.9067523208535088	0.9990295557226223
"ycfD"	0.4614215338411404	0.9992546163376925	"msbA"	0.5943659773833369	0.9990261882905388
"mlaB"	0.4618268038435506	0.9917032940267217	"trmJ"	0.6616011148699042	0.9990258992605798
"ycaR"	0.4633785022766177	0.9971184313587514	"yagU"	1.4728748692462068	0.9990248674856059
"etk"	0.46360411651212663	0.9763057406681291	"yihD"	0.7203576903658703	0.9990243611751501
"yohD"	0.4642451527795325	0.9927321443952226	"dcuR"	0.5129184710396815	0.9990224699378053
"yiiM"	0.464324029992238	0.9945907072642012	"creC"	0.49107305953526614	0.9990207195055135
"yjeH"	0.46463122946105584	0.9955259911577549	"rihA"	0.9268417273725387	0.9990164360238225
"yfiH"	0.4652132893924429	0.9982580586636788	"hpt"	0.5357251323666564	0.9990149677309837
"btuC"	0.4653469763855468	0.9975670611519484	"dacC"	0.6242572207854789	0.9990043544380102
"ycbF"	0.4656793783939195	0.9911286934911354	"ilvN"	0.8652925403740274	0.9990037036181668
"ybiR"	0.4660146117348172	0.9977265455106769	"qor"	0.9001936983535316	0.9989996846748705
