Accession Number,Gene Name
AAC74053.2,rlmI
AAC73487.2,psiF
AAC76759.1,atpF
AAC75100.1,rfbA
AAC75389.1,aroC
AAC75077.1,yeeZ
AAC76940.1,argC
AAC73244.1,panC
AAC73542.1,lon
AAC75356.1,ackA
AAC76287.1,accB
AAC76133.1,yqjD
AAC75552.1,purM
AAC76863.1,yihI
AAC77184.1,ytfQ
AAC77354.1,arcA
AAC75606.1,glnB
AAC76266.1,degQ
AAC76077.1,ribB
AAC75663.1,grpE
AAC74893.1,cspC
AAC75943.1,gcvT
AAC77007.1,malM
AAC73209.1,secA
AAC74185.1,ptsG
AAC73994.1,aroA
AAC75517.1,talA
AAC75931.1,dsbC
AAC76694.1,ilvB
AAC73781.1,seqA
AAC76862.3,yihA
AAC76523.1,prlC
AAC75959.1,yggE
AAC75635.1,trxC
AAC77212.1,rraB
AAC75576.2,pepB
AAT48180.1,malP
AAC76534.2,hdeB
AAC75657.2,rimM
AAC74685.1,manA
AAC76577.2,ghrB
AAC74170.1,rluC
AAC76201.1,rbfA
AAC76304.2,yrdA
AAC76241.2,elbB
AAC73234.1,cueO
AAC74175.1,fabH
AAC76758.1,atpH
AAC75648.1,pheA
AAC77211.1,argI
AAC73969.1,clpA
AAC76939.1,argE
AAC76293.1,fis
AAC75343.2,nuoG
AAC76754.1,atpC
AAC75995.1,yggN
AAC73282.1,pyrH
AAC73193.1,rsmH
AAC76044.1,metC
AAC75984.1,gshB
AAC73762.1,miaB
AAC75988.1,yggS
AAC75936.1,ygfZ
AAC76411.1,rpe
AAC75503.2,yffS
AAC76025.2,yghU
AAC75650.1,aroF
AAC75574.2,sseA
AAC76208.1,glmM
AAC75084.1,hisH
AAC75156.1,gatZ
AAC74155.1,flgM
AAC75991.1,rdgB
AAC73571.1,apt
AAC74151.1,yceH
AAC74611.1,dcp
AAC77349.1,rob
AAC74834.1,selD
AAC75248.1,yejL
AAC75142.1,trhP
AAC75634.1,yfiF
AAC76088.1,hldE
AAC75247.1,yejK
AAC77337.1,deoD
AAC75941.1,gcvP
AAC76626.1,yibL
AAC74172.1,yceD
AAC75101.1,rfbD
AAC76232.1,lptA
AAC74718.1,sodC
AAC77137.1,rlmB
AAC74355.1,yciN
AAC73513.1,yajD
AAC76426.2,hslO
AAC74927.2,znuA
AAC75474.1,cysM
AAC76672.1,gmk
AAC76039.1,yghA
AAC74495.2,hrpA
AAC74117.2,ghrA
AAC73270.1,mtn
AAC76967.1,thiE
AAC73887.1,ybiB
AAC74258.1,minE
