fba_id,base_id
RXN-14107-an-oxidized-TorC-protein/REDUCED-MENAQUINONE/PROTON//a-reduced-TorC-protein/CPD-9728/PROTON.92.,RXN-14107
RXN-14107-an-oxidized-TorY-protein/REDUCED-MENAQUINONE/PROTON//A-REDUCED-TORY-PROTEIN/CPD-9728/PROTON.92.,RXN-14107
RXN-14112,RXN-14112
RXN-14113,RXN-14113
RXN-14115,RXN-14115
RXN-14124,RXN-14124
RXN-14126[CCO-PERI-BAC]-CPD-3706/WATER//ADENOSINE/Pi.43.,RXN-14126
RXN-14126[CCO-PERI-BAC]-CPD-3706/WATER//ADENOSINE/Pi.43.__APHA-CPLX,RXN-14126
RXN-14188,RXN-14188
RXN-14251,RXN-14251
RXN-14255,RXN-14255
RXN-14381,RXN-14381
RXN-14381 (reverse),RXN-14381
RXN-14722,RXN-14722
RXN-14722-CPD-13211/WATER//P-NITROPHENOL/ALPHA-GLUCOSE/PROTON.52.,RXN-14722
RXN-14722-CPD-13211/WATER//P-NITROPHENOL/GLC/PROTON.42.,RXN-14722
RXN-16420,RXN-16420
RXN-16456,RXN-16456
RXN-16457,RXN-16457
RXN-16649[CCI-PERI-BAC-GN]-CPD-17927/WATER//CPD-17926/D-ALANINE.54.,RXN-16649
RXN-16649[CCO-PERI-BAC]-CPD-17927/WATER//CPD-17926/D-ALANINE.51.,RXN-16649
RXN-16659,RXN-16659
RXN-16660,RXN-16660
RXN-16788,RXN-16788
RXN-16937,RXN-16937
RXN-17354,RXN-17354
RXN-17355,RXN-17355
RXN-17754,RXN-17754
RXN-17755,RXN-17755
RXN-17809,RXN-17809
RXN-17954,RXN-17954
RXN-17955,RXN-17955
RXN-17956,RXN-17956
RXN-18584-Oxidized-NapC-proteins/CPD-9956//Reduced-NapC-proteins/UBIQUINONE-8/PROTON.75.,RXN-18584
RXN-18586,RXN-18586
RXN-18586-SULFO-CYSTEINE/Reduced-NrdH-Proteins//CYS/SO3/Oxidized-NrdH-Proteins/PROTON.76.,RXN-18586
RXN-18604-an-oxidized-NrfB-protein/REDUCED-MENAQUINONE//a-reduced-NrfB-protein/CPD-9728/PROTON.85.,RXN-18604
RXN-18702,RXN-18702
RXN-18703,RXN-18703
RXN-19033,RXN-19033
RXN-19249,RXN-19249
RXN-19253,RXN-19253
RXN-19256,RXN-19256
RXN-19311,RXN-19311
RXN-19312-CPD-8353/WATER//PALMITATE/L-1-GLYCEROPHOSPHORYLETHANOL-AMINE/PROTON.68.,RXN-19312
RXN-19312-CPD0-2147/WATER//CPD-7836/L-1-GLYCEROPHOSPHORYLETHANOL-AMINE/PROTON.68.,RXN-19312
