,reactionID,stoichiometry,reversible,protein_complexes,protein_monomers,monomer_counts,genes
134,ABC-11-RXN,"{'ATP': -1, 'Ferric-Hydroxamate-Complexes': [-1, 1], 'WATER': -1, 'ADP': 1, 'Pi': 1, 'PROTON': 1}",False,['ABC-11-CPLX'],"['FHUC-MONOMER', 'FHUB-MONOMER', 'FHUD-MONOMER']","[2, 1, 1]","['EG10304', 'EG10303', 'EG10305']"
135,TRANS-RXN-297,"{'CPD0-621': [-1, 1], 'ATP': -1, 'WATER': -1, 'ADP': 1, 'Pi': 1, 'PROTON': 1}",False,['ABC-11-CPLX'],"['FHUC-MONOMER', 'FHUB-MONOMER', 'FHUD-MONOMER']","[2, 1, 1]","['EG10304', 'EG10303', 'EG10305']"
136,TRANS-RXN-298,"{'CPD0-2241': [-1, 1], 'ATP': -1, 'WATER': -1, 'ADP': 1, 'Pi': 1, 'PROTON': 1}",False,['ABC-11-CPLX'],"['FHUC-MONOMER', 'FHUB-MONOMER', 'FHUD-MONOMER']","[2, 1, 1]","['EG10304', 'EG10303', 'EG10305']"
137,TRANS-RXN-1,"{'FORMATE': [-1, 1]}",True,"['CPLX0-7843', 'FOCB-MONOMER']",['FOCA-MONOMER'],[5],"['EG11258', 'G7309']"
138,TRANS-RXN0-418,"{'PSICOSELYSINE': [-1, 1]}",False,['YHFM-MONOMER'],[],[],['EG12908']
139,TRANS-RXN0-417,"{'FRUCTOSELYSINE': [-1, 1]}",False,['YHFM-MONOMER'],[],[],['EG12908']
140,TRANS-RXN0-582,"{'FRU': -1, 'PTSI-PHOSPHORYLATED': -1, 'D-fructose-1-phosphate': 1, 'PTSI-MONOMER': 1}",False,['CPLX-158'],"['FRUB-MONOMER', 'FRUA-MONOMER']","[1, 2]","['G7990', 'EG10336']"
141,TRANS-RXN0-618,"{'PTSI-PHOSPHORYLATED': -1, 'D-Fructopyranose': -1, 'PTSI-MONOMER': 1, 'D-fructopyranose-1-phosphate': 1}",False,['CPLX-158'],"['FRUB-MONOMER', 'FRUA-MONOMER']","[1, 2]","['G7990', 'EG10336']"
142,TRANS-RXN-158,"{'Fructofuranose': -1, 'PTSI-PHOSPHORYLATED': -1, 'D-fructofuranose-1-phosphate': 1, 'PTSI-MONOMER': 1}",False,['CPLX-158'],"['FRUB-MONOMER', 'FRUA-MONOMER']","[1, 2]","['G7990', 'EG10336']"
143,No Reaction Found,[],,MONOMER0-4306,[],[],['G7990']
144,1PFRUCTPHOSN-RXN,"{'ATP': -1, 'FRU1P': -1, 'PROTON': 1, 'ADP': 1, 'FRUCTOSE-16-DIPHOSPHATE': 1}",False,['1-PFK'],['1-PFK-MONOMER'],[2],['EG10337']
145,RXN0-313,"{'FRUCTOSE-6P': -1, 'DIHYDROXYACETONE': 1, 'GAP': 1}",True,"['CPLX0-8584', 'CPLX0-201']","['EG11905-MONOMER', 'G6428-MONOMER']","[10, 10]","['EG11905', 'G6428']"
146,RXN-16659,"{'CPD-17927': -1, 'CPD-17931': -1, 'CPD-17932': 1, 'D-ALANINE': 1}",False,"['CPLX0-7717', 'CPLX0-3951', 'EG10341-MONOMER', 'EG10606-MONOMER']","['EG10748-MONOMER', 'EG10605-MONOMER']","[2, 2]","['EG10748', 'EG10605', 'EG10341', 'EG10606']"
147,GLUC1PURIDYLTRANS-RXN,"{'PROTON': -1, 'GLC-1-P': -1, 'UTP': -1, 'CPD-12575': 1, 'PPI': 1}",True,['CPLX0-8205'],['GLUC1PURIDYLTRANS-MONOMER'],[4],['EG11319']
148,GALACTARDEHYDRA-RXN,"{'D-GALACTARATE': -1, '5-KETO-4-DEOXY-D-GLUCARATE': 1, 'WATER': 1}",False,['CPLX0-8537'],['GALACTARDEHYDRA-MONOMER'],[2],['EG12522']
149,TRANS-RXN0-204,"{'D-GLUCARATE': [-1, 1], 'PROTON': [-1, 1]}",True,"['B2789-MONOMER', 'YHAU-MONOMER']",[],[],"['G7447', 'EG12760']"
150,TRANS-RXN0-203,"{'D-GALACTARATE': [-1, 1], 'PROTON': [-1, 1]}",True,"['B2789-MONOMER', 'YHAU-MONOMER']",[],[],"['G7447', 'EG12760']"
151,TRANS-RXN0-523,"{'GLYCERATE': [-1, 1], 'PROTON': [-1, 1]}",True,"['B2789-MONOMER', 'YHAU-MONOMER']",[],[],"['G7447', 'EG12760']"
152,RXN0-6373,"{'Ubiquinones': -1, 'Glucopyranose': -1, 'Ubiquinols': 1, 'GLC-D-LACTONE': 1}",False,['GLUCDEHYDROG-MONOMER'],[],[],['EG10369']
153,TRANS-RXN-22,"{'Pi': [-1, 1], 'GLYCEROL-3P': [-1, 1]}",True,['GLPT-MONOMER'],[],[],['EG10401']
154,TRANS-RXN-122,"{'NA+': [-2, 1], 'GLT': [-1, 1]}",True,['GLTS-MONOMER'],[],[],['EG10406']
155,GDPMANDEHYDRA-RXN,"{'GDP-MANNOSE': -1, 'WATER': 1, 'GDP-4-DEHYDRO-6-DEOXY-D-MANNOSE': 1}",False,['GDPMANDEHYDRA-CPLX'],['GDPMANDEHYDRA-MONOMER'],[2],['EG11787']
156,GDPMANMANHYDRO-RXN,"{'GDP-MANNOSE': -1, 'WATER': -1, 'MANNOSE': 1, 'PROTON': 1, 'GDP': 1}",False,['CPLX0-7712'],['GDPMANMANHYDRO-MONOMER'],[2],['EG11789']
157,GDP-GLUCOSIDASE-RXN,"{'GDP-D-GLUCOSE': -1, 'WATER': -1, 'GDP': 1, 'Glucopyranose': 1, 'PROTON': 1}",False,['CPLX0-7712'],['GDPMANMANHYDRO-MONOMER'],[2],['EG11789']
158,TRANS-RXN0-209,"{'PROTON': [-1, 1], 'GLUCONATE': [-1, 1]}",True,"['GNTP-MONOMER', 'GNTT-MONOMER', 'GNTU-MONOMER', 'YJGT-MONOMER']",[],[],"['EG12563', 'EG12380', 'EG12631', 'EG12539']"
159,GPH-RXN,"{'WATER': -1, 'CPD-67': -1, 'GLYCOLLATE': 1, 'Pi': 1}",False,"['ALKAPHOSPHA-CPLX', 'GPH-MONOMER']",['ALKAPHOSPHA-MONOMER'],[2],"['EG10727', 'EG11871']"
160,No Reaction Found,[],,GLUTAREDOXIN-MONOMER,[],[],['EG10417']
161,PRODISULFREDUCT-RXN,"{'GLUTATHIONE': -2, 'Protein-Ox-Disulfides': -1, 'OXIDIZED-GLUTATHIONE': 1, 'Protein-Red-Disulfides': 1}",False,"['GRXC-MONOMER', 'RED-GLUTAREDOXIN', 'GRXB-MONOMER']",[],[],"['EG12294', 'EG10417', 'EG12688']"
162,RXN-19629,"{'GLUTATHIONE': -2, 'SULFO-CYSTEINE': -1, 'OXIDIZED-GLUTATHIONE': 1, 'CYS': 1, 'SO3': 1, 'PROTON': 1}",False,['RED-GLUTAREDOXIN'],[],[],['EG10417']
163,No Reaction Found,[],,OX-GLUTAREDOXIN-C,[],[],['EG12294']
164,GLUCARDEHYDRA-RXN,"{'D-GLUCARATE': -1, '5-KETO-4-DEOXY-D-GLUCARATE': 1, 'WATER': 1}",False,['GLUCARDEHYDRA-MONOMER'],[],[],['G7445']
165,RXN0-5285,"{'CPD0-1090': -1, 'D-GLUCARATE': 1}",True,['GLUCARDEHYDRA-MONOMER'],[],[],['G7445']
166,RXN-12071,"{'CPD-13034': -1, 'NAD': -1, 'CPD-10796': 1, 'NADH': 1, 'PROTON': 1}",False,['PHENPRODIOLDEHYDROG-MONOMER'],[],[],['G7335']
167,PHENPRODIOLDEHYDROG-RXN,"{'CARBOXYETHYL-3-5-CYCLOHEXADIENE-1-2-DIOL': -1, 'NAD': -1, 'PROTON': 1, '2-3-DIHYDROXYPHENYL-PROPIONATE': 1, 'NADH': 1}",False,['PHENPRODIOLDEHYDROG-MONOMER'],[],[],['G7335']
168,RXN-12072,"{'CPD-674': -1, 'NADH': -1, 'OXYGEN-MOLECULE': -1, 'PROTON': -1, 'CPD-13034': 1, 'NAD': 1}",False,['HCAMULTI-CPLX'],"['HCAC-MONOMER', 'HCAD-MONOMER', 'HCAA2-MONOMER', 'PHENYLPRODIOXY-MONOMER']","[1, 1, 1, 1]","['G7334', 'G7336', 'M015', 'M009']"
169,HCAMULTI-RXN,"{'3-PHENYLPROPIONATE': -1, 'NADH': -1, 'OXYGEN-MOLECULE': -1, 'PROTON': -1, 'CARBOXYETHYL-3-5-CYCLOHEXADIENE-1-2-DIOL': 1, 'NAD': 1}",False,['HCAMULTI-CPLX'],"['HCAC-MONOMER', 'HCAD-MONOMER', 'HCAA2-MONOMER', 'PHENYLPRODIOXY-MONOMER']","[1, 1, 1, 1]","['G7334', 'G7336', 'M015', 'M009']"
170,TRANS-RXN0-282,"{'3-PHENYLPROPIONATE': [-1, 1]}",False,['HCAT-MONOMER'],[],[],['G7330']
171,HYDROXYLAMINE-REDUCTASE-RXN,"{'AMMONIUM': -1, 'WATER': -1, 'Acceptor': -1, 'PROTON': 1, 'Donor-H2': 1, 'HYDROXYLAMINE': 1}",False,['G6457-MONOMER'],[],[],['G6457']
172,RXN0-307,"{'Red-Hybrid-Cluster-Proteins': -1, 'NAD': -1, 'Ox-Hybrid-Cluster-Proteins': 1, 'NADH': 1}",False,['G6456-MONOMER'],[],[],['G6456']
173,PROTOHEMEFERROCHELAT-RXN,"{'PROTOHEME': -1, 'PROTON': -2, 'PROTOPORPHYRIN_IX': 1, 'FE+2': 1}",True,"['G7266-MONOMER', 'CPLX0-7810', 'PROTOHEME-FERROCHELAT-MONOMER']",['EG11735-MONOMER'],[2],"['G7266', 'EG11735', 'EG10431']"
174,R621-RXN,"{'NADH-P-OR-NOP': -1, 'NITRIC-OXIDE': -2, 'OXYGEN-MOLECULE': -2, 'NAD-P-OR-NOP': 1, 'NITRATE': 1, 'PROTON': 1}",False,['EG10456-MONOMER'],[],[],['EG10456']
