,reactionID,stoichiometry,reversible,protein_complexes,protein_monomers,monomer_counts,genes
0,ISOCIT-CLEAV-RXN,"{'THREO-DS-ISO-CITRATE': -1, 'GLYOX': 1, 'SUC': 1}",True,['ISOCIT-LYASE'],['ISOCIT-LYASE-MONOMER'],[4],['EG10022']
1,MALSYN-RXN,"{'ACETYL-COA': -1, 'WATER': -1, 'GLYOX': -1, 'PROTON': 1, 'MAL': 1, 'CO-A': 1}",False,"['MALSYNG-MONOMER', 'MALATE-SYNTHASE']",[],[],"['EG20080', 'EG10023']"
2,TRANS-RXN-360,"{'Gentamycins': [-1, 1], 'PROTON': [-1, 1]}",False,['CPLX0-3932'],"['CPLX0-7964', 'ACRD-MONOMER', 'EG11703-MONOMER']","[1, 3, 6]","['EG11009', 'EG10014', 'EG11703']"
3,TRANS-RXN-352,"{'DEOXYCHOLATE': [-1, 1], 'PROTON': [-1, 1]}",False,"['CPLX0-2141', 'TRANS-CPLX-204', 'TRANS-CPLX-202']","['CPLX0-7964', 'EG10266-MONOMER', 'ACRF-MONOMER', 'CPLX0-7964', 'EG12240-MONOMER', 'YHIV-MONOMER', 'CPLX0-7964', 'B2076-MONOMER', 'B2075-MONOMER', 'MDTA']","[1, 6, 3, 1, 1, 1, 1, 1, 2, 1]","['EG11009', 'EG10266', 'EG10267', 'EG11009', 'EG12240', 'EG12241', 'EG11009', 'G7115', 'G7114', 'G7113']"
4,TRANS-RXN-367,"{'Erythromycins': [-1, 1], 'PROTON': [-1, 1]}",False,"['CPLX0-2141', 'TRANS-CPLX-204']","['CPLX0-7964', 'EG10266-MONOMER', 'ACRF-MONOMER', 'CPLX0-7964', 'EG12240-MONOMER', 'YHIV-MONOMER']","[1, 6, 3, 1, 1, 1]","['EG11009', 'EG10266', 'EG10267', 'EG11009', 'EG12240', 'EG12241']"
5,TRANS-RXN-354,"{'CPD-21070': [-1, 1], 'PROTON': [-1, 1]}",False,"['CPLX0-2141', 'TRANS-CPLX-201']","['CPLX0-7964', 'EG10266-MONOMER', 'ACRF-MONOMER', 'CPLX0-7964', 'EG11703-MONOMER', 'ACRB-MONOMER']","[1, 6, 3, 1, 6, 3]","['EG11009', 'EG10266', 'EG10267', 'EG11009', 'EG11703', 'EG11704']"
6,TRANS-RXN-355,"{'CPD-9288': [-1, 1], 'PROTON': [-1, 1]}",False,"['CPLX0-2141', 'TRANS-CPLX-201']","['CPLX0-7964', 'EG10266-MONOMER', 'ACRF-MONOMER', 'CPLX0-7964', 'EG11703-MONOMER', 'ACRB-MONOMER']","[1, 6, 3, 1, 6, 3]","['EG11009', 'EG10266', 'EG10267', 'EG11009', 'EG11703', 'EG11704']"
7,RXN0-1981,"{'ACET': [-1, 1], 'NA+': [-1, 1]}",True,['CPLX0-7955'],['YJCG-MONOMER'],[2],['EG11942']
8,RXN0-5111,"{'GLYCOLLATE': [-1, 1], 'NA+': [-1, 1]}",True,['CPLX0-7955'],['YJCG-MONOMER'],[2],['EG11942']
9,TRANS-RXN0-576,"{'CPD-4544': [-1, 1], 'NA+': [-1, 1]}",True,['CPLX0-7955'],['YJCG-MONOMER'],[2],['EG11942']
10,TRANS-RXN0-447,"{'ADENINE': [-1, 1], 'PROTON': [-1, 1]}",True,['EG11724-MONOMER'],[],[],['EG11724']
11,RXN0-2162,"{'AGMATHINE': [-1, 1], 'ARG': [-1, 1]}",True,['CPLX0-7535'],['YJDE-MONOMER'],[2],['EG12462']
12,ACETYLESTERASE-RXN,"{'WATER': -1, 'Acetate-esters': -1, 'Alcohols': 1, 'ACET': 1, 'PROTON': 1}",False,['CPLX0-8033'],['EG11101-MONOMER'],[2],['EG11101']
13,RXN-13548,"{'D-GALACTOSAMINE-6-PHOSPHATE': -1, 'WATER': -1, 'TAGATOSE-6-PHOSPHATE': 1, 'AMMONIUM': 1}",False,['G7634-MONOMER'],[],[],['G7634']
14,GLUCOSE-1-PHOSPHAT-RXN,"{'WATER': -1, 'GLC-1-P': -1, 'Pi': 1, 'Glucopyranose': 1}",False,"['EG11850-MONOMER', 'GLUCOSE-1-PHOSPHAT-CPLX']",['GLUCOSE-1-PHOSPHAT-MONOMER'],[2],"['EG11850', 'EG10033']"
15,RXN0-1001,"{'MI-HEXAKISPHOSPHATE': -1, 'WATER': -1, 'CPD-534': 1, 'Pi': 1}",False,['GLUCOSE-1-PHOSPHAT-CPLX'],['GLUCOSE-1-PHOSPHAT-MONOMER'],[2],['EG10033']
16,R4-RXN,"{'Alkyl-Hydro-Peroxides': -1, 'NADH': -1, 'PROTON': -1, 'Alcohols': 1, 'WATER': 1, 'NAD': 1}",False,['CPLX0-245'],"['EG11384-MONOMER', 'EG11385-MONOMER']","[10, 2]","['EG11384', 'EG11385']"
17,UREIDOGLYCOLATE-LYASE-RXN,"{'CPD-1091': -1, 'UREA': 1, 'GLYOX': 1}",False,['G6275-MONOMER'],[],[],['G6275']
18,RXN0-7024,"{'CPD-1091': -1, 'NAD': -1, 'CPD-389': 1, 'NADH': 1, 'PROTON': 1}",False,['CPLX0-7993'],['G6286-MONOMER'],[2],['G6286']
19,RXN0-5225,"{'CPD0-1080': -1, 'WATER': -1, 'CPD0-1081': 1, 'CPD0-1082': 1}",False,"['G6452-MONOMER', 'EG10041-MONOMER']",[],[],"['G6452', 'EG10041']"
20,RXN0-4621,"{'CPD0-882': -1, 'ATP': -1, 'WATER': -1, 'PROTON': 1, 'CPD0-881': 1, 'ADP': 1}",False,['G6880-MONOMER'],[],[],['G6880']
21,RXN66-448,"{'ARG': [-1, 1]}",False,['YGGA-MONOMER'],[],[],['EG11159']
22,TRANS-RXN-325,"{'CANAVANINE': [-1, 1]}",False,['YGGA-MONOMER'],[],[],['EG11159']
23,RXN0-3521,"{'UDP-L-ARA4-FORMYL-N': -1, 'CPD-9646': -1, 'CPD0-888': 1, 'UDP': 1}",False,['G7167-MONOMER'],[],[],['G7167']
24,RXN0-5409,"{'CPD0-888': -1, 'WATER': -1, 'CPD0-1189': 1, 'FORMATE': 1}",False,['G7169-MONOMER'],[],[],['G7169']
25,TRANS-RXN0-276,"{'CPD0-1189': [-1, 1]}",False,['CPLX0-7720'],"['MONOMER0-2682', 'G7171-MONOMER']","[1, 1]","['G0-10460', 'G7171']"
26,RXN0-2001,"{'KDO2-LIPID-A': -1, 'CPD0-1189': -1, 'L-ARA4N-MODIFIED-KDO2-LIPID-A': 1, 'CPD-9646': 1}",False,['G7170-MONOMER'],[],[],['G7170']
27,TRANS-RXN-155,"{'PTSH-PHOSPHORYLATED': -1, 'CELLOBIOSE': -1, 'CPD-507': 1, 'PTSH-MONOMER': 1}",False,"['CPLX-155', 'CPLX-153']","['CELC-MONOMER', 'CELB-MONOMER', 'CELA-MONOMER', 'ASCF-MONOMER']","[1, 1, 1, 2]","['EG10142', 'EG10141', 'EG10140', 'EG10086']"
28,TRANS-RXN-153A,"{'PTSH-PHOSPHORYLATED': -1, 'CPD-1142': -1, 'CPD-1181': 1, 'PTSH-MONOMER': 1}",False,"['CPLX-154', 'CPLX-153']","['BGLF-MONOMER', 'ASCF-MONOMER']","[2, 2]","['EG10115', 'EG10086']"
29,TRANS-RXN-153,"{'HYDROQUINONE-O-BETA-D-GLUCOPYRANOSIDE': -1, 'PTSH-PHOSPHORYLATED': -1, 'CPD-1162': 1, 'PTSH-MONOMER': 1}",Not found,"['CPLX-154', 'CPLX-153']","['BGLF-MONOMER', 'ASCF-MONOMER']","[2, 2]","['EG10115', 'EG10086']"
30,TRANS-RXN0-281,"{'3-KETOBUTYRATE': [-1, 1]}",False,['EG11671-MONOMER'],[],[],['EG11671']
31,UNDECAPRENYL-DIPHOSPHATASE-RXN,"{'UNDECAPRENYL-DIPHOSPHATE': -1, 'WATER': -1, 'PROTON': 1, 'CPD-9646': 1, 'Pi': 1}",False,"['PGPPHOSPHAB-MONOMER', 'G6439-MONOMER', 'EG11665-MONOMER', 'G7146-MONOMER']",[],[],"['EG10705', 'G6439', 'EG11665', 'G7146']"
32,RXN-11776,"{'FARNESYL-PP': -1, 'WATER': -1, 'PROTON': 1, 'CPD-12587': 1, 'Pi': 1}",False,['EG11665-MONOMER'],[],[],['EG11665']
33,1.11.1.15-RXN,"{'Red-Thioredoxin': -1, 'Alkyl-Hydro-Peroxides': -1, 'Ox-Thioredoxin': 1, 'WATER': 1, 'Alcohols': 1}",False,"['CPLX0-7747', 'EG10108-MONOMER', 'CPLX0-8157']","['G6660-MONOMER', 'EG10680-MONOMER']","[2, 2]","['G6660', 'EG10108', 'EG10680']"
34,RXN0-5295,"{'CPD-1162': -1, 'WATER': -1, 'GLC-6-P': 1, 'HYDROQUINONE': 1}",False,"['EG10085-MONOMER', 'G495-MONOMER', 'EG10114-MONOMER']",[],[],"['EG10085', 'G495', 'EG10114']"
35,RXN0-6994,"{'CPD0-2499': -1, 'WATER': -1, 'GLC-6-P': 1, 'METOH': 1}",False,['G495-MONOMER'],[],[],['G495']
36,RXN0-5297,"{'CPD-1181': -1, 'WATER': -1, 'GLC-6-P': 1, 'CPD-173': 1}",False,['EG10114-MONOMER'],[],[],['EG10114']
37,6-PHOSPHO-BETA-GLUCOSIDASE-RXN,"{'CPD-15978': -1, 'WATER': -1, 'D-glucopyranose-6-phosphate': 1, 'Glucopyranose': 1}",False,"['CPLX0-7979', 'EG10114-MONOMER', 'EG10085-MONOMER']",['EG10144-MONOMER'],[4],"['EG10144', 'EG10114', 'EG10085']"
38,3.2.1.21-RXN,"{'Beta-D-glucosides': -1, 'WATER': -1, 'Non-Glucosylated-Glucose-Acceptors': 1, 'Glucopyranose': 1}",False,['EG12013-MONOMER'],[],[],['EG12013']
39,RXN0-1565,"{'COB-I-ALAMIN': [-1, 1], 'PROTON': [-1, 1]}",False,['CPLX0-1924'],"['EG10126-MONOMER', 'CPLX0-1923']","[1, 1]","['EG10126', 'EG11012', 'EG10271', 'EG10272']"
40,TRANS-RXN0-283,"{'CPD-20903': [-1, 1], 'PROTON': [-1, 1]}",False,['CPLX0-1924'],"['EG10126-MONOMER', 'CPLX0-1923']","[1, 1]","['EG10126', 'EG11012', 'EG10271', 'EG10272']"
41,ABC-5-RXN,"{'ATP': -1, 'COB-I-ALAMIN': [-1, 1], 'WATER': -1, 'ADP': 1, 'Pi': 1, 'PROTON': 1}",False,['ABC-5-CPLX'],"['BTUD-MONOMER', 'BTUC-MONOMER', 'EG12334-MONOMER']","[2, 2, 1]","['EG10128', 'EG10127', 'EG12334']"
42,TRANS-RXN-296,"{'CPD-20903': [-1, 1], 'ATP': -1, 'WATER': -1, 'ADP': 1, 'Pi': 1, 'PROTON': 1}",False,['ABC-5-CPLX'],"['BTUD-MONOMER', 'BTUC-MONOMER', 'EG12334-MONOMER']","[2, 2, 1]","['EG10128', 'EG10127', 'EG12334']"
43,BTUR2-RXN,"{'ATP': -2, 'CPD-20903': -2, 'Reduced-Flavoproteins': -1, 'ADENOSYLCOBINAMIDE': 1, 'P3I': 1, 'Oxidized-Flavoproteins': 1, 'PROTON': 1}",False,['COBALADENOSYLTRANS-MONOMER'],[],[],['EG10130']
44,COBALADENOSYLTRANS-RXN,"{'CPD-20905': -1, 'ATP': -1, 'B12-Corrinoid-Adenosyltranferase': 1, 'P3I': 1}",False,['COBALADENOSYLTRANS-MONOMER'],[],[],['EG10130']
45,CROBETREDUCT-RXN,"{'GAMMA-BUTYROBETAINYL-COA': -1, 'ETF-Oxidized': -1, 'PROTON': -1, 'CROTONOBETAINYL-COA': 1, 'ETF-Reduced': 1}",False,['CROBETREDUCT-MONOMER'],[],[],['EG11560']
46,RXN0-3601,"{'CARNITINE': -1, 'GAMMA-BUTYROBETAINYL-COA': -1, 'L-CARNITINYL-COA': 1, 'GAMMA-BUTYROBETAINE': 1}",False,['CARNDEHYDRA-CPLX'],['CARNDEHYDRA-MONOMER'],[2],['EG11559']
47,LCARNCOALIG-RXN,"{'CO-A': -1, 'CARNITINE': -1, 'ATP': -1, 'L-CARNITINYL-COA': 1, 'AMP': 1, 'PPI': 1}",False,['CAIC-MONOMER'],[],[],['EG11558']
48,CARNDETRU-RXN,"{'L-CARNITINYL-COA': -1, 'CROTONOBETAINYL-COA': 1, 'WATER': 1}",True,['CARNRACE-MONOMER'],[],[],['EG11557']
49,TRANS-RXN-100,"{'GAMMA-BUTYROBETAINE': [-1, 1], 'CARNITINE': [-1, 1]}",False,['CPLX0-7906'],['CAIT-MONOMER'],[3],['EG11561']
50,No Reaction Found,[],,CPLX-9495,[],[],['EG12059']
51,RXN-21408,"{'ATP': -1, 'CcmAB-Complex': -1, 'CcmCDE-Complex-Heme': -1, 'CcmABCD-Complex': 1, 'CcmE-Protein-Heme': 1, 'ADP': 1, 'Pi': 1}",False,['CPLX-9493'],"['CCMB-MONOMER', 'CCMA-MONOMER']","[1, 2]","['EG12058', 'EG12059']"
52,No Reaction Found,[],,CPLX-9495,[],[],['EG12058']
53,No Reaction Found,[],,CPLX-9495,[],[],['EG12057']
54,RXN-21407,"{'PROTOHEME': -1, 'CcmCDE-Complex': -1, 'Acceptor': -1, 'PROTON': -1, 'CcmCDE-Complex-Heme': 1, 'Donor-H1': 1}",False,['ABC-35-CPLX'],"['CCMC-MONOMER', 'EG12169-MONOMER', 'CCME-MONOMER']","[1, 1, 1]","['EG12057', 'EG12169', 'EG12055']"
55,No Reaction Found,[],,CPLX-9495,[],[],['EG12169']
56,No Reaction Found,[],,CPLX-9494,[],[],['EG12054']
57,RXN-21421,"{'Oxidized-CcmG-Proteins': -1, 'Apocytochromes-c': -1, 'Reduced-CcmG-Proteins': 1, 'Apocytochromes-c-Disulfide': 1}",False,['EG12053-MONOMER'],[],[],['EG12053']
58,RXN-21424,"{'Reduced-CcmG-Proteins': -1, 'CytC-CcmH-Heme-CcmE': -1, 'ETR-Quinols': -1, 'CcmH-CcmG': 1, 'Cytochromes-c': 1, 'CcmE-Proteins': 1, 'ETR-Semiquinones': 1, 'PROTON': 1}",False,['EG12053-MONOMER'],[],[],['EG12053']
59,RXN-21425,"{'CcmH-CcmG': -1, 'Oxidized-CcmG-Proteins': 1, 'Reduced-CcmH-Proteins': 1}",False,['EG12053-MONOMER'],[],[],['EG12053']
60,No Reaction Found,[],,CPLX-9494,[],[],['EG12052']
61,2.1.1.79-RXN,"{'S-ADENOSYLMETHIONINE': -1, 'Phospholipid-Cis-Olefinic-Fatty-Acids': -1, 'Phospholipid-Cyclopropane-Fatty-Acids': 1, 'ADENOSYL-HOMO-CYS': 1, 'PROTON': 1}",False,['CFA-CPLX'],['CFA-MONOMER'],[2],['EG11531']
62,TRANS-RXN-155B,"{'PTSH-PHOSPHORYLATED': -1, 'CHITOBIOSE': -1, 'DIACETYLCHITOBIOSE-6-PHOSPHATE': 1, 'PTSH-MONOMER': 1}",False,['CPLX-155'],"['CELC-MONOMER', 'CELB-MONOMER', 'CELA-MONOMER']","[1, 1, 1]","['EG10142', 'EG10141', 'EG10140']"
63,RXN0-7392,"{'CPD0-2705': -1, 'WATER': -1, 'D-GLUCOSAMINE-6-P': 1, 'N-acetyl-D-glucosamine': 1}",False,['CPLX0-7979'],['EG10144-MONOMER'],[4],['EG10144']
64,2.7.8.25-RXN,"{'DEPHOSPHO-COA': -1, 'ATP': -1, '2-5-TRIPHOSPHORIBOSYL-3-DEPHOSPHO-': 1, 'ADENINE': 1}",False,['G6339-MONOMER'],[],[],['G6339']
65,TRANS-RXN0-201,"{'SUC': [-1, 1], 'CIT': [-1, 1]}",True,['B0612-MONOMER'],[],[],['G6338']
66,2.7.7.61-RXN,"{'2-5-TRIPHOSPHORIBOSYL-3-DEPHOSPHO-': -1, 'APO-CITRATE-LYASE': -1, 'HOLO-CITRATE-LYASE': 1, 'PPI': 1}",False,['G6340-MONOMER'],[],[],['G6340']
67,RXN0-2501,"{'CL-': [-2, 1], 'PROTON': [-1, 1]}",True,"['YNFJ-MONOMER', 'CPLX0-7961']",['YADQ-MONOMER'],[2],"['G6850', 'EG12331']"
68,RXN-8770,"{'ADENOSYLCOBALAMIN-5-P': -1, 'WATER': -1, 'ADENOSYLCOBALAMIN': 1, 'Pi': 1}",False,['RIBAZOLEPHOSPHAT-MONOMER'],[],[],['G6349']
69,RXN-16788,"{'ALPHA-RIBAZOLE-5-P': -1, 'WATER': -1, 'ALPHA-RIBAZOLE': 1, 'Pi': 1}",False,['RIBAZOLEPHOSPHAT-MONOMER'],[],[],['G6349']
70,TRANS-RXN-116,"{'PROTON': [-1, 1], 'CYTOSINE': [-1, 1]}",False,['CODB-MONOMER'],[],[],['EG11327']
