"gene"	"num_peaks"	"peaks"	"areas"	"standard_devs"
"thiM"	1	"[9.16]"	"[1943]"	"[0.0792]"
"thiD"	1	"[8.66]"	"[1943]"	"[0.0649]"
"recC"	1	"[8.85]"	"[1943]"	"[0.0625]"
"ygdB"	1	"[8.45]"	"[1943]"	"[0.0514]"
"ppdA"	1	"[7.93]"	"[1943]"	"[0.0485]"
"ptsP"	1	"[9.78]"	"[1943]"	"[0.047]"
"rppH"	1	"[10.96]"	"[1943]"	"[0.0496]"
"udk"	1	"[9.32]"	"[1943]"	"[0.0594]"
"tas"	1	"[10.07]"	"[1943]"	"[0.0388]"
"recD"	1	"[9.04]"	"[1943]"	"[0.049]"
"ygeA"	1	"[8.85]"	"[1943]"	"[0.0772]"
"ygeR"	1	"[9.32]"	"[1943]"	"[0.0302]"
"wbbH"	1	"[9.72]"	"[1943]"	"[0.1288]"
"recJ"	1	"[9.3]"	"[1943]"	"[0.0391]"
"cptA"	1	"[9.44]"	"[1943]"	"[0.0458]"
"yqfA"	1	"[9.28]"	"[1943]"	"[0.0706]"
"yqfB"	1	"[9.91]"	"[1943]"	"[0.0477]"
"visC"	1	"[9.63]"	"[1943]"	"[0.0309]"
"ygfB"	1	"[11.21]"	"[1943]"	"[0.0412]"
"yggE"	1	"[10.32]"	"[1943]"	"[0.063]"
"dacD"	1	"[8.42]"	"[1943]"	"[0.0334]"
"yqeH"	1	"[6.49]"	"[1943]"	"[0.0872]"
"cobU"	1	"[8.93]"	"[1943]"	"[0.0421]"
"csdL"	1	"[9.48]"	"[1943]"	"[0.0305]"
"ygdD"	1	"[9.27]"	"[1943]"	"[0.045]"
"cas3"	1	"[7.59]"	"[1943]"	"[0.0568]"
"ygcN"	1	"[8.53]"	"[1943]"	"[0.0406]"
"mqo"	1	"[9.33]"	"[1943]"	"[0.0652]"
"napG"	1	"[9.18]"	"[1943]"	"[0.0691]"
"napH"	1	"[9.23]"	"[1943]"	"[0.0654]"
"ygcW"	1	"[6.87]"	"[1943]"	"[0.0774]"
"ccmA"	1	"[9.14]"	"[1943]"	"[0.0454]"
"ccmC"	1	"[8.8]"	"[1943]"	"[0.0429]"
"ccmD"	1	"[8.21]"	"[1943]"	"[0.0511]"
"ccmE"	1	"[8.55]"	"[1943]"	"[0.0397]"
"osmF"	1	"[9.15]"	"[1943]"	"[0.059]"
"setB"	1	"[8.46]"	"[1943]"	"[0.0498]"
"fruA"	1	"[9.9]"	"[1943]"	"[0.0651]"
"barA"	1	"[9.13]"	"[1943]"	"[0.0405]"
"lysP"	1	"[9.32]"	"[1943]"	"[0.0895]"
"yeiG"	1	"[9.45]"	"[1943]"	"[0.0498]"
"folE"	1	"[10.48]"	"[1943]"	"[0.0871]"
"mglA"	1	"[8.43]"	"[1943]"	"[0.1052]"
"mglC"	1	"[8.88]"	"[1943]"	"[0.0734]"
"ygdG"	1	"[8.64]"	"[1943]"	"[0.042]"
"pbpG"	1	"[9.41]"	"[1943]"	"[0.0417]"
"rlmM"	1	"[8.81]"	"[1943]"	"[0.0512]"
"queE"	1	"[9.28]"	"[1943]"	"[0.0554]"
"mscS"	1	"[10.49]"	"[1943]"	"[0.0788]"
"yggC"	1	"[8.3]"	"[1943]"	"[0.067]"
"cmtA"	1	"[7.82]"	"[1943]"	"[0.0531]"
"hybG"	1	"[8.88]"	"[1943]"	"[0.0481]"
"hybF"	1	"[8.58]"	"[1943]"	"[0.0468]"
"astD"	1	"[8.52]"	"[1943]"	"[0.1008]"
"nadE"	1	"[10.51]"	"[1943]"	"[0.0573]"
"katE"	1	"[8.92]"	"[1943]"	"[0.1041]"
"yghB"	1	"[9.45]"	"[1943]"	"[0.0392]"
"pheS"	1	"[11.21]"	"[1943]"	"[0.0707]"
"pheT"	1	"[11.41]"	"[1943]"	"[0.0643]"
"btuC"	1	"[9.02]"	"[1943]"	"[0.0387]"
"yqhD"	1	"[10.09]"	"[1943]"	"[0.0674]"
"yghU"	1	"[9.82]"	"[1943]"	"[0.0559]"
"aroH"	1	"[8.48]"	"[1943]"	"[0.0572]"
"aroD"	1	"[8.62]"	"[1943]"	"[0.0536]"
"ydiB"	1	"[7.19]"	"[1943]"	"[0.0663]"
"sufC"	1	"[9.01]"	"[1943]"	"[0.0842]"
"sufS"	1	"[8.25]"	"[1943]"	"[0.0893]"
"sufE"	1	"[8.89]"	"[1943]"	"[0.1044]"
"ribC"	1	"[10.11]"	"[1943]"	"[0.0507]"
"yqiA"	1	"[9.97]"	"[1943]"	"[0.0538]"
"sodB"	1	"[12.03]"	"[1943]"	"[0.0942]"
"cpdA"	1	"[10.39]"	"[1943]"	"[0.0393]"
"ygiB"	1	"[11.29]"	"[1943]"	"[0.0432]"
"fadK"	1	"[8.14]"	"[1943]"	"[0.063]"
"ansA"	1	"[10.18]"	"[1943]"	"[0.048]"
"pncA"	1	"[9.53]"	"[1943]"	"[0.0455]"
"ydjI"	1	"[7.68]"	"[1943]"	"[0.0475]"
"cmtB"	1	"[6.3]"	"[1943]"	"[0.0776]"
"pgsA"	1	"[9.31]"	"[1943]"	"[0.0563]"
"tyrP"	1	"[8.28]"	"[1943]"	"[0.0508]"
"rsmE"	1	"[10.14]"	"[1943]"	"[0.0476]"
"otsB"	1	"[8.82]"	"[1943]"	"[0.0942]"
"yqgE"	1	"[10.09]"	"[1943]"	"[0.0317]"
"argS"	1	"[8.91]"	"[1943]"	"[0.0908]"
"yggS"	1	"[10.3]"	"[1943]"	"[0.0721]"
"yggU"	1	"[10.61]"	"[1943]"	"[0.0489]"
"nudB"	1	"[10.83]"	"[1943]"	"[0.0483]"
"znuB"	1	"[9.21]"	"[1943]"	"[0.0417]"
"znuC"	1	"[8.29]"	"[1943]"	"[0.0607]"
"pykA"	1	"[10.28]"	"[1943]"	"[0.0635]"
"zwf"	1	"[10.58]"	"[1943]"	"[0.0496]"
"eda"	1	"[10.5]"	"[1943]"	"[0.0491]"
"trmI"	1	"[10.09]"	"[1943]"	"[0.0682]"
"manZ"	1	"[10.34]"	"[1943]"	"[0.0867]"
"manY"	1	"[11.27]"	"[1943]"	"[0.092]"
"mutY"	1	"[9.69]"	"[1943]"	"[0.0431]"
"yghG"	1	"[6.76]"	"[1943]"	"[0.0766]"
"yeaE"	1	"[8.5]"	"[1943]"	"[0.0565]"
"yghQ"	1	"[8.93]"	"[1943]"	"[0.0579]"
"msrB"	1	"[11.29]"	"[1943]"	"[0.0764]"
"atoA"	1	"[8.64]"	"[1943]"	"[0.0729]"
"atoE"	1	"[7.61]"	"[1943]"	"[0.0563]"
"nrdA"	1	"[10.7]"	"[1943]"	"[0.0761]"
"nrdB"	1	"[9.95]"	"[1943]"	"[0.0965]"
"fdx"	1	"[10.62]"	"[1943]"	"[0.0631]"
"hcaT"	1	"[9.05]"	"[1943]"	"[0.042]"
"iscS"	1	"[11.53]"	"[1943]"	"[0.0751]"
"hscB"	1	"[9.76]"	"[1943]"	"[0.0736]"
"trmJ"	1	"[10.71]"	"[1943]"	"[0.0544]"
"sseA"	1	"[10.04]"	"[1943]"	"[0.0602]"
"yphA"	1	"[8.24]"	"[1943]"	"[0.0688]"
"yphB"	1	"[8.78]"	"[1943]"	"[0.0349]"
"guaB"	1	"[10.91]"	"[1943]"	"[0.0941]"
"guaA"	1	"[10.64]"	"[1943]"	"[0.076]"
"hcaF"	1	"[9.14]"	"[1943]"	"[0.0399]"
"ppx"	1	"[9.73]"	"[1943]"	"[0.0422]"
"yphF"	1	"[7.94]"	"[1943]"	"[0.0522]"
"yphG"	1	"[8.67]"	"[1943]"	"[0.0586]"
"yfhG"	1	"[9.89]"	"[1943]"	"[0.0388]"
"glrK"	1	"[9.34]"	"[1943]"	"[0.0862]"
"tadA"	1	"[9.34]"	"[1943]"	"[0.0394]"
"yfhL"	1	"[8.9]"	"[1943]"	"[0.0713]"
"recO"	1	"[9.43]"	"[1943]"	"[0.0459]"
"rnc"	1	"[10.25]"	"[1943]"	"[0.0489]"
"hyfE"	1	"[8.52]"	"[1943]"	"[0.0439]"
"lepA"	1	"[10.01]"	"[1943]"	"[0.0526]"
"yphE"	1	"[7.74]"	"[1943]"	"[0.0568]"
"hcaC"	1	"[9.25]"	"[1943]"	"[0.0566]"
"rodZ"	1	"[11.12]"	"[1943]"	"[0.048]"
"mltF"	1	"[7.41]"	"[1943]"	"[0.062]"
"yfeX"	1	"[9.55]"	"[1943]"	"[0.0566]"
"yfeY"	1	"[9.69]"	"[1943]"	"[0.0405]"
"hycE"	1	"[8.68]"	"[1943]"	"[0.0668]"
"yfeZ"	1	"[9.23]"	"[1943]"	"[0.0353]"
"ypeA"	1	"[10.02]"	"[1943]"	"[0.0387]"
"eutK"	1	"[9.03]"	"[1943]"	"[0.0502]"
"gutQ"	1	"[9.45]"	"[1943]"	"[0.0453]"
"eutG"	1	"[8.21]"	"[1943]"	"[0.0477]"
"srlE"	1	"[8.07]"	"[1943]"	"[0.1168]"
"eutM"	1	"[9.07]"	"[1943]"	"[0.0476]"
"ygaH"	1	"[9.86]"	"[1943]"	"[0.0578]"
"narQ"	1	"[7.93]"	"[1943]"	"[0.0436]"
"proW"	1	"[9.14]"	"[1943]"	"[0.1098]"
"ypfH"	1	"[9.25]"	"[1943]"	"[0.0425]"
"gabT"	1	"[8.84]"	"[1943]"	"[0.0848]"
"yfgC"	1	"[9.75]"	"[1943]"	"[0.0375]"
"hda"	1	"[9.05]"	"[1943]"	"[0.0635]"
"yfgF"	1	"[6.78]"	"[1943]"	"[0.0671]"
"kgtP"	1	"[11.18]"	"[1943]"	"[0.0767]"
"pssA"	1	"[10.35]"	"[1943]"	"[0.0471]"
"xseA"	1	"[9.21]"	"[1943]"	"[0.0594]"
"pdxJ"	1	"[10.06]"	"[1943]"	"[0.0367]"
"der"	1	"[9.28]"	"[1943]"	"[0.0664]"
"hyfA"	1	"[7.68]"	"[1943]"	"[0.0502]"
"rffM"	1	"[8.91]"	"[1943]"	"[0.0317]"
"yfiF"	1	"[9.9]"	"[1943]"	"[0.0347]"
"acrD"	1	"[8.79]"	"[1943]"	"[0.0433]"
"pta"	1	"[10.1]"	"[1943]"	"[0.0638]"
"ackA"	1	"[12.49]"	"[1943]"	"[0.0747]"
"ygaC"	1	"[7.32]"	"[1943]"	"[0.0943]"
"nuoA"	1	"[10.92]"	"[1943]"	"[0.0544]"
"ygaX"	1	"[7.84]"	"[1943]"	"[0.0608]"
"nuoJ"	1	"[11.33]"	"[1943]"	"[0.0645]"
"hycH"	1	"[8.72]"	"[1943]"	"[0.0483]"
"nuoL"	1	"[10.94]"	"[1943]"	"[0.0828]"
"hypA"	1	"[8.79]"	"[1943]"	"[0.0652]"
"nuoN"	1	"[10.77]"	"[1943]"	"[0.0631]"
"folX"	1	"[10.56]"	"[1943]"	"[0.078]"
"hypB"	1	"[8.99]"	"[1943]"	"[0.083]"
"hypD"	1	"[9.16]"	"[1943]"	"[0.078]"
"mutS"	1	"[9.19]"	"[1943]"	"[0.0413]"
"ygbK"	1	"[7.82]"	"[1943]"	"[0.051]"
"menE"	1	"[9.12]"	"[1943]"	"[0.041]"
"arnF"	1	"[7.11]"	"[1943]"	"[0.0837]"
"arnD"	1	"[7.43]"	"[1943]"	"[0.0659]"
"arnC"	1	"[8.16]"	"[1943]"	"[0.1015]"
"arnB"	1	"[7.63]"	"[1943]"	"[0.0911]"
"ftsB"	1	"[10.82]"	"[1943]"	"[0.048]"
"cas1"	1	"[8.19]"	"[1943]"	"[0.0459]"
"menD"	1	"[9.38]"	"[1943]"	"[0.0438]"
"hisP"	1	"[9.62]"	"[1943]"	"[0.0749]"
"hisM"	1	"[8.5]"	"[1943]"	"[0.0563]"
"ygaU"	1	"[8.87]"	"[1943]"	"[0.0966]"
"nudK"	1	"[9.24]"	"[1943]"	"[0.0365]"
"rluD"	1	"[10.11]"	"[1943]"	"[0.0548]"
"bamD"	1	"[10.97]"	"[1943]"	"[0.0421]"
"eutB"	1	"[9.62]"	"[1943]"	"[0.0448]"
"eutC"	1	"[9.4]"	"[1943]"	"[0.0399]"
