lambda_sec,lambda_eff,lambda_kin,lambda_div,obj_total,obj_homeo,obj_kin,obj_eff,obj_sec,obj_div,,,
0.00011815,4.41E-10,0.000149584,2.66E-06,0.006815651,1.65E-11,35.376079,249483.777,11.96727389,0.004701455,,,
9.05E-06,5.38E-07,0.000145601,1.54E-08,0.003811907,1.16E-12,22.07226184,430.1241485,40.50460626,0.011941145,,,
9.59E-10,3.77E-10,0.000145043,6.77E-08,0.003290463,7.74E-12,22.04554586,246236.4746,41.14438735,0.003744619,,,
1.18E-07,8.86E-08,0.000144786,0.000737014,0.003237675,7.85E-12,22.04581334,432.4049819,41.47413208,0.003439921,,,
0.000310616,1.48E-09,0.000138449,0.000269812,0.008269845,4.84E-12,39.02823951,261.0728934,9.223758685,0.003757671,,,
1.11E-09,2.98E-08,0.000138057,7.76E-09,0.003056454,2.50E-12,22.04554586,431.7870904,52.14103184,0.011932872,,,
0.000367101,9.83E-06,0.00013646,0.00929236,0.011170801,7.67E-12,42.6209105,246.6835759,7.891509718,0.003438542,,,
1.09E-10,5.48E-08,0.000132608,1.87082E-05,0.00294714,9.37E-12,22.04554586,431.8879462,52.31483469,0.003744619,,,
3.01402E-05,2.03E-10,0.000131236,0.000164156,0.004152945,2.18E-11,22.372217,249619.7474,38.66989069,0.003591581,,,
4.12E-08,9.45E-09,0.000129922,2.34E-07,0.002870003,5.69E-12,22.04554586,434.8262467,40.9815303,0.003871462,,,
6.31E-06,1.44E-10,0.000129601,6.52E-10,0.003151781,1.43E-11,22.04554586,249648.657,40.97213578,0.008450211,,,
4.88E-06,5.69E-10,0.000129048,1.21431E-05,0.003047934,7.54E-12,22.04554586,5047.697069,40.97280549,0.003812177,,,
0.000806159,1.75E-10,0.000125317,3.03375E-05,0.011745584,2.03E-11,42.55892313,249449.5503,7.899789276,0.004635965,,,
4.03739E-05,3.86E-10,0.000120193,1.74E-10,0.004279159,1.84E-11,24.01413098,249587.8526,32.11105852,0.008560509,,,
3.06E-09,1.25424E-05,0.000115955,6.78E-06,0.007174152,1.62E-12,30.395544,290.9721715,19.87339385,0.011950796,,,
