lambda_hom,lambda_sec,lambda_eff,lambda_kin,lambda_div,fraction_kinetic_target,obj_total,obj_homeo,obj_kin,obj_eff,obj_sec,obj_div,obj_hom_w,obj_kin_w,obj_eff_w,obj_sec_w,obj_div_w,toya_pearson_r_squared,toya_r_squared
0.025899335,2.83E-06,1.36E-07,0.00442059,0.00587555,1,0.045215202,0.014760396,10.11589126,277.7584498,23.37680045,0.001830169,0.000382284,0.044718204,3.77367E-05,6.6223E-05,1.07533E-05,0.694060599,-40.61140596
0.049625891,2.74443E-05,1.03E-07,0.002456175,0.000704225,1,0.026180067,0.011892374,10.1457803,277.2091089,23.33093847,0.0018762,0.00059017,0.024919815,2.84604E-05,0.000640301,1.32E-06,0.614080347,-35.53463167
0.197240717,1.63E-07,1.15E-07,8.05646E-05,0.000287872,1,0.000896811,4.00E-12,10.66341098,286.8576667,25.06358635,0.001828719,7.88E-13,0.000859093,3.31178E-05,4.07E-06,5.26E-07,0.690700154,-44.54078028
0.080196416,5.21E-06,2.27E-06,0.001162677,0.002070497,1,0.013150906,0.004170458,10.37470042,276.4494785,23.63439865,0.001835245,0.000334456,0.012062422,0.0006271,0.000123129,3.80E-06,0.697169125,-43.18295369
0.04578658,5.92782E-05,7.42E-06,1.01151E-05,0.000151009,1,0.001151202,0.000505883,75.06555456,34.86605443,1.854102174,0.001865699,2.31626E-05,0.000759296,0.000258554,0.000109908,2.82E-07,0.747548322,0.619202738
0.047601593,1.55E-06,2.78E-06,9.95229E-05,0.000252195,1,0.001887348,9.21665E-05,10.96240304,271.8785192,22.6551258,0.001832344,4.39E-06,0.00109101,0.000756468,3.50205E-05,4.62E-07,0.693741644,-40.9853515
0.008163009,7.59105E-05,1.07496E-05,0.003302065,3.85016E-05,1,0.035887104,0.376514336,8.266093931,321.1021687,27.22464049,0.002218451,0.00307349,0.027295183,0.003451709,0.002066636,8.54E-08,0.648987147,-65.60621781
0.001237239,4.59E-07,2.23E-06,2.84187E-05,2.35837E-05,1,0.000856985,0.007892686,15.302194,182.2839323,11.6257849,0.002039349,9.77E-06,0.000434868,0.000406964,5.34E-06,4.81E-08,0.635339774,-4.45115917
0.020424535,2.07E-07,1.34E-07,0.000114864,1.1928E-05,1,0.001268553,7.98E-12,10.66334682,286.8572594,25.06354505,0.001893603,1.63E-13,0.00122484,3.84908E-05,5.20E-06,2.26E-08,0.690700009,-44.54058278
0.004403054,3.75E-06,4.77E-07,1.00723E-05,0.001565045,1,0.000296652,0.000275271,17.77439642,171.4155279,8.471691221,0.001827994,1.21E-06,0.00017903,8.17618E-05,3.17876E-05,2.86E-06,0.743824528,-1.467396911
0.016810705,5.26915E-05,9.50326E-05,1.17327E-05,0.000253846,1,0.003132097,0.022012169,78.19416387,18.82074451,1.052296749,0.002349338,0.00037004,0.000917429,0.001788585,5.54471E-05,5.96E-07,0.751918426,0.222706255
0.363253008,8.59E-07,1.09E-06,2.74193E-05,0.006577483,1,0.000631423,2.08E-12,11.0650895,271.7257505,22.95154252,0.001827994,7.54E-13,0.000303397,0.000296294,1.97083E-05,1.20236E-05,0.683535931,-35.44807189
0.005032902,2.51467E-05,9.43E-07,2.02111E-05,3.39194E-05,1,0.000662953,0.005096289,22.44447026,136.7918252,2.174363005,0.002016884,2.56491E-05,0.000453627,0.000128931,5.4678E-05,6.84E-08,0.683877208,0.598380607
0.00149592,3.22E-07,2.87E-07,0.00029457,5.39449E-05,1,0.003067519,0.334283132,8.368851574,323.5176901,28.5631378,0.001875475,0.000500061,0.00246521,9.29553E-05,9.19E-06,1.01E-07,0.704610411,-81.99277501
0.006984763,1.72469E-05,9.15021E-05,0.005012023,0.000824476,1,0.06668261,0.906206963,7.961964921,218.9105137,24.06159757,0.002000194,0.006329641,0.039905555,0.020030777,0.000414988,1.65E-06,0.389234746,-2.883079427
0.007599434,4.69E-06,4.91E-07,1.79442E-05,1.45812E-05,1,0.000434457,0.000102498,12.08050681,250.8461382,19.96647682,0.002064003,7.79E-07,0.000216776,0.00012325,9.36229E-05,3.01E-08,0.624903231,-26.85657915
0.096771962,3.35E-07,8.72E-06,0.004069215,0.000323772,1,0.044829611,0.011844342,10.15024169,271.8882516,25.73759271,0.001885627,0.0011462,0.041303513,0.002370665,8.62E-06,6.11E-07,0.608900581,-35.57324003
0.046891752,1.42647E-05,1.34E-07,0.001010354,2.34825E-05,1,0.011039287,0.005021068,10.32350573,280.0611282,23.551391,0.002066178,0.000235447,0.010430394,3.74451E-05,0.000335953,4.85E-08,0.619117368,-37.47223008
0.224747375,1.38442E-05,1.58E-07,3.21133E-05,3.04925E-05,1,0.000703337,1.50E-12,11.3316868,269.6259692,21.43174545,0.001913181,3.37E-13,0.000363898,4.26755E-05,0.000296706,5.83E-08,0.625991907,-32.73322596
0.098387658,3.52E-06,1.41337E-05,7.39962E-05,0.000343795,1,0.003749486,0.000468577,18.66852555,162.3481656,7.607946604,0.001866425,4.61022E-05,0.0013814,0.002294576,2.67654E-05,6.42E-07,0.747468476,-0.664022322
0.016563823,4.75E-07,8.04E-06,3.82429E-05,0.00050958,1,0.002017232,0.001431708,22.26045393,141.6412321,3.859664284,0.00183452,2.37146E-05,0.000851304,0.001139447,1.83E-06,9.35E-07,0.725756298,0.605889506
0.276733129,2.49E-07,1.09771E-05,0.002332896,4.32618E-05,1,0.028026609,0.000192135,10.65033186,284.1610944,31.9436926,0.002190897,5.317E-05,0.024846116,0.003119262,7.97E-06,9.48E-08,0.642115197,-42.37420877
0.003168975,7.44329E-05,4.93E-07,0.001497273,6.51202E-05,1,0.015752716,0.377032623,8.265465055,321.1739545,27.18886746,0.002148115,0.001194807,0.01237566,0.000158362,0.002023747,1.40E-07,0.702060336,-80.46598991
0.001169866,9.28E-06,9.0088E-05,8.18895E-05,7.11742E-05,1,0.007791316,0.148236482,76.82608456,14.50589146,2.089411941,0.006471596,0.000173417,0.006291247,0.001306807,1.93848E-05,4.61E-07,0.520718271,-0.025221599
0.001862703,2.67747E-05,4.73E-06,1.45547E-05,2.66336E-05,1,0.00100328,0.017603899,23.71913081,125.5125471,1.164152144,0.002203849,3.27908E-05,0.000345225,0.000594036,3.11698E-05,5.87E-08,0.359314396,0.241252566
0.14691903,1.23285E-05,8.10298E-05,3.20791E-05,0.007891554,1,0.005018352,0.001441961,80.20728947,27.11849891,1.757536194,0.001830894,0.000211852,0.002572978,0.002197405,2.16679E-05,1.44486E-05,0.903199233,0.665482815
0.024301422,3.07908E-05,3.11E-07,0.000775584,0.001192888,1,0.008932789,0.006316839,10.2894639,278.1527412,23.06826792,0.00183307,0.000153508,0.007980348,8.6456E-05,0.00071029,2.19E-06,0.623563377,-36.38067712
0.003046599,3.07E-07,1.64E-06,1.86689E-05,2.15043E-05,1,0.000607934,0.005122709,16.82012786,167.8284127,8.931110107,0.001995856,1.56068E-05,0.000314013,0.000275527,2.74E-06,4.29E-08,0.726080134,-1.218342503
0.031851825,3.10E-06,1.02E-06,0.000406815,0.000117891,1,0.00470144,0.00061879,10.61312536,283.5238933,24.46901191,0.001892878,1.97096E-05,0.004317574,0.000288168,7.57647E-05,2.23E-07,0.698009133,-48.01679211
0.002863758,1.00317E-05,1.84172E-05,0.000689901,3.29464E-05,1,0.01154596,0.288669578,10.14219373,191.2814608,19.8579503,0.002412169,0.00082668,0.006997114,0.003522878,0.000199209,7.95E-08,0.363492971,-0.889714004
0.122732936,2.04E-07,1.7487E-05,0.001156807,5.04845E-05,1,0.017307773,0.000642281,10.61312536,282.8454876,26.38423334,0.002217,7.88291E-05,0.012277335,0.004946108,5.39E-06,1.12E-07,0.695739745,-46.69330785
0.021800619,2.82E-07,2.88E-06,2.37721E-05,0.006583144,1,0.00093368,0.000440954,18.03640113,166.9046951,8.236440764,0.001827994,9.61E-06,0.000428763,0.00048095,2.32E-06,1.20339E-05,0.757350674,-0.828003743
0.013901564,7.98E-06,1.12E-07,0.000239396,2.57193E-05,1,0.002759828,0.004390908,10.35378507,280.8789687,23.64669963,0.00190738,6.10405E-05,0.002478659,3.14024E-05,0.000188677,4.91E-08,0.697133584,-43.49499759
0.008026686,4.03755E-05,3.35E-07,0.000245578,0.004359485,1,0.003599557,0.007408483,10.44708221,267.7152137,21.71476925,0.001827994,5.94656E-05,0.002565576,8.98029E-05,0.000876744,7.97E-06,0.692117074,-38.50237214
0.07777639,9.58E-06,1.42E-07,0.003205146,0.003353552,1,0.033712602,0.0118928,10.14580966,277.2091956,23.33097434,0.001832344,0.000924979,0.032518799,3.92288E-05,0.000223451,6.14E-06,0.614080027,-35.5346431
0.012174127,1.28E-07,3.47571E-05,0.000254772,0.001702177,1,0.010014667,0.013576089,18.31633372,149.0052447,6.206279046,0.001832344,0.000165277,0.004666482,0.005178992,7.97E-07,3.12E-06,0.723117024,0.153232678
0.001832102,8.15265E-05,7.40E-07,0.000166107,0.000309148,1,0.00351363,0.141213205,12.88261079,191.633629,11.93000292,0.00186533,0.000258717,0.002139889,0.000141836,0.000972611,5.77E-07,0.661306931,-2.673105227
